domanda,risposta_gold,risposta,se_corretta
Qual è il tipo di accesso richiesto per il corso di Laurea in Matematica presso l'Università di Bologna?,B. Numero programmato - TOLC-I,B. Numero programmato - TOLC-I,True
Quale tra le seguenti NON è una funzione svolta dal Consiglio di Corso?,C.  Predisposizione dei calendari e delle commissioni degli esami di laurea.,A. Esercizio del potere di nomina dei professori del corso.,False
"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","C. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.","C. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, oppure per non meno di trenta giornate lavorative.",True
Quali servizi di supporto sono offerti ai studenti all'interno di un singolo Corso di Studio?,C. Servizi di tutorato dedicati al supporto peer to peer.,D. Servizi di tutorato individuali con docenti esperti.,False
"In base al regolamento, quando può essere assegnato un voto di laurea magistrale di 5 o 6 punti?","C. Quando il relatore richiede un voto di 5 o 6 punti e il controrelatore, individuato dal Coordinatore, esprime il proprio parere positivo.",D. Quando il relatore richiede un voto di 5 o 6 punti e la Commissione esprime unanimemente il proprio parere positivo.,False
Quale dei seguenti affermazioni riguardo al TOLC-I è FALSA?,B. Il TOLC-I è composto da 50 quesiti e dura 1 ora e 50 minuti.,"A. Il TOLC-I è necessario sostenere presso la stessa sede del Corso di tuo interesse.



In Italian, the correct statement is:

A. Il TOLC-I è necessario sostenere presso la stessa sede del Corso di tuo interesse.



This statement is false according to the provided context. The context states:



* Il test TOLC si svolge al computer presso le sedi individuate dagli atenei che lo adottano e consente di **partecipare a qualunque selezione per la quale è richiesto quel tipo di TOLC**: **non è necessario, quindi, sostenerlo presso la stessa sede del Corso di tuo interesse.**



This translates to:



* The TOLC test takes place online at the locations determined by the universities that adopt it and allows you to **participate in any selection for which that type of TOLC is required**: **it is not necessary, therefore, to take it at the same location as the course of your interest.**



The key phrase here is ""non è necessario, quindi, sostenerlo presso la stessa sede del Corso di tuo interesse,"" which means ""it is not necessary, therefore, to take it at the same location as the course of your interest."" This directly contradicts option A, which claims that the TOLC-I is necessary to be taken at the same location as the course of interest.



Therefore, the correct answer is A, as it contains a factual inaccuracy based on the information provided in the context. The other options (B, C, D) are consistent with the information given.",False
"Quanto tempo dura il test TOLC-I, uno dei tipi di TOLC previsti per l'accesso a questo corso?",A. 1 ora e 50 minuti,A. 1 ora e 50 minuti,True
Quanto costa l'iscrizione alla selezione per entrare in graduatoria per un corso di laurea presso l'Università di Bologna?,C. 20 €,C. 20 €,True
Quante posizioni totali sono disponibili per il corso di laurea in Scienze dei Materiali nell'ambito della selezione straordinaria per l'anno accademico 2024/2025?,D. 88,C. 5,False
Qual è la data limite per la presentazione del certificato di conoscenza della lingua italiana per la selezione straordinaria?,C. 23/09/2024,C. 23/09/2024,True
