sorgente,domanda,corretta,errata_1,errata_2,errata_3
../SviluppoCooperazioneInternazionale/diventaretutor.htm,"Secondo il testo, a cosa possono rivolgersi gli studenti dell'Università di Bologna per ricevere supporto relativo alle attività didattiche e integrative?",A. I tutor dei Corsi di Studio,B. I docenti di ogni corso di studio,C. Il servizio di orientamento studentesco,D. Il dipartimento di riferimento per il proprio corso di laurea
../SviluppoCooperazioneInternazionale/index.txt,Qual è il tipo di accesso richiesto per il corso di laurea in Sviluppo e Cooperazione Internazionale?,A. Numero programmato - TOLC-E,B. Selezione libera,C. Concorso di merito,D. Iscrizione diretta
../SviluppoCooperazioneInternazionale/index.txt,Quando è possibile iscriversi alla selezione straordinaria per l'accesso al CdS SVIC per l'anno accademico 2024-2025?,A. Dal 10 settembre al 19 settembre 2024,B. Dal 20 agosto al 27 settembre 2024,C. Dal 10 settembre al 29 novembre 2024,D. Dal 2 ottobre al 7 ottobre 2024
../SviluppoCooperazioneInternazionale/index.txt,Quale evento accademico si svolge il 2 ottobre 2024 presso l'università?,A. Il Welcome Day SVIC e il seminario “Il sistema agroalimentare interamericano”,B. Solo il Welcome Day SVIC,C. Solo il seminario “Il sistema agroalimentare interamericano”,D. Un convegno sulla governance del sistema agroalimentare europeo
../SviluppoCooperazioneInternazionale/come-scegliere-tra-svic-sposi-e-sid/index.txt,"Quale tra i tre corsi di laurea si concentra principalmente sullo studio delle scienze sociali, con particolare attenzione alla scienza politica e alla sociologia, fornendo agli studenti gli strumenti per analizzare il comportamento individuale e di gruppo nell'arena politica e nella vita sociale?","A. Scienze Politiche, Sociali e Internazionali (SPOSI)",B. Sviluppo e Cooperazione Internazionale (SVIC),C. Scienze Internazionali e Diplomatiche (SID),D.  Solo Scienze Internazionali e Diplomatiche (SID) e Sviluppo e Cooperazione Internazionale (SVIC)
../SviluppoCooperazioneInternazionale/come-scegliere-tra-svic-sposi-e-sid/index.txt,Quale delle seguenti affermazioni descrive correttamente la caratteristica principale del Corso di Scienze Internazionali e Diplomatiche (SID)?,A. Forte vocazione all'internazionalizzazione tipica dei Corsi imperniati sulle Relazioni Internazionali.,"B.  Fornisce conoscenze specifiche in ambito giuridico, con particolare attenzione alla legislazione internazionale.",C.  Si concentra principalmente sull'analisi economica e finanziaria dei processi internazionali.,"D.  Offre un curriculum esclusivamente in inglese, con l'obiettivo di formare diplomatici per l'ONU."
../SviluppoCooperazioneInternazionale/come-scegliere-tra-svic-sposi-e-sid/index.txt,A quale classe di laurea appartiene il corso di laurea SVIC?,"A. L-37, Scienze sociali per la cooperazione, lo sviluppo e la pace","B. L-36, Scienze politiche e delle relazioni internazionali","C. L-27, Scienze economiche","D. L-18, Scienze storiche"
../SviluppoCooperazioneInternazionale/come-scegliere-tra-svic-sposi-e-sid/index.txt,In quale anno è possibile accedere al programma di scambio di Buenos Aires per il corso di laurea in Scienze Politiche Sociali Internazionali?,A. Al primo anno,B. Al secondo anno,C. Al terzo anno,D. Solo per il curriculum PIL
../SviluppoCooperazioneInternazionale/coordinatore-consiglio/index.txt,Quale tra le seguenti NON è una funzione esercitata dal Consiglio di Corso?,A.  predisposizione dei calendari e delle commissioni degli esami di laurea,B.  elezione del Coordinatore del Corso,C.  riconoscimento dei crediti,D.  formulazione di proposte in tema di programmazione didattica
../SviluppoCooperazioneInternazionale/conciliare-studio-e-lavoro/index.txt,"Per ottenere il riconoscimento dello status di “studente lavoratore” all'Università di Bologna nell'anno accademico 2024/2025, quali sono i requisiti essenziali?","A. Studiare in un corso di Laurea, Laurea Magistrale a ciclo unico o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 3 mesi con un impegno di almeno 4 ore la settimana o per almeno 30 giornate lavorative nei dodici mesi antecedenti alla scadenza dell'avviso.",B. Studiare in un corso di Laurea o Laurea Magistrale e aver svolto un'attività lavorativa per almeno 6 mesi con un impegno di almeno 5 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso.,C. Essere iscritti all'anno accademico 2024/2025 e aver svolto un'attività lavorativa per almeno 2 mesi con un impegno di almeno 3 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso.,"D. Aver svolto un'attività lavorativa per almeno 12 mesi con un impegno di almeno 4 ore la settimana nei dodici mesi antecedenti alla scadenza dell'avviso, indipendentemente dal corso di studi."
