domanda,risposta_gold,risposta,rouge1,rouge2,rougeL,rougeLsum
Sbocchi occupazionali del corso?,"Banche e Assicurazioni, Borse e Mercati, Società di consulenza, Società di sondaggi, Società di gestione dati, Società di Sviluppo Software, Settore dell'informazione, gestione del web, Logistica e gestione della produzione, Editoria e Comunicazione scientifica, Settore dei servizi, Marketing e gestione commerciale,Controllo di gestione.","I sbocchi occupazionali del corso di laurea in Matematica sono:

- Banche e Assicurazioni.
- Borse e Mercati.
- Società di consulenza.
- Società di sondaggi.
- Società di gestione dati.
- Società di Sviluppo Software.
- Settore dell’informazione; gestione del web.
- Logistica e gestione della produzione.
- Editoria e Comunicazione scientifica.
- Settore dei servizi.
- Marketing e gestione commerciale.
- Controllo di gestione.",0.9,0.8979591836734693,0.9,0.9
Principali funzioni in un contesto di lavoro?,"Applica le conoscenze matematiche acquisite a problemi diversi di tipo tecnologico, scientifico, economico-finanziario, elaborandone il modello matematico e sviluppando il software necessario. Identifica più soluzioni matematiche per risolvere un problema. Interpreta i bisogni del cliente (interno ed esterno), traducendoli in linguaggio matematico, anche utilizzando la conoscenza dei moderni strumenti informatici e del calcolo scientifico. Svolge attività di divulgazione scientifica con particolare riguardo alla matematica.","Le principali funzioni in un contesto di lavoro per un esperto matematico sono:

1.  Applicare le conoscenze matematiche acquisite a problemi diversi di tipo tecnologico, scientifico, economico-finanziario, elaborandone il modello matematico e sviluppando il software necessario.
2.  Identificare più soluzioni matematiche per risolvere un problema.
3.  Interpretare i bisogni del cliente (interno ed esterno), traducendoli in linguaggio matematico, anche utilizzando la conoscenza dei moderni strumenti informatici e del calcolo scientifico.
4.  Svolgere attività di progettazione e pianificazione, oltre a sviluppare capacità di comunicazione per favorire una buona divulgazione delle discipline matematiche.",0.7006369426751592,0.6451612903225806,0.7006369426751592,0.6751592356687899
Cosa Studierai?,"Il programma offre una formazione multidisciplinare con solide fondamenta teoriche ed empiriche per analisi approfondite, con un costante focus sulla prospettiva comparata e internazionale. Inoltre, include attività pratiche per un'applicazione concreta delle competenze acquisite.",La risposta è: Matematica,0.0,0.0,0.0,0.0
Esperienze all'estero?,"Nell'ambito delle esperienze all'estero, il Corso offre la possibilità di svolgere tirocini presso organizzazioni internazionali e partecipare a programmi di scambio. Queste esperienze offrono un contatto diretto con le realtà internazionali, arricchendo la comprensione delle dinamiche globali e fornendo un vantaggio concreto nel mercato del lavoro internazionale.",Non sono in grado di trovare informazioni sulle esperienze all'estero.,0.13333333333333333,0.06896551724137931,0.1,0.1
Le funzioni del tutor del corso?,"Il tutor svolge una funzione di interfaccia tra gli studenti e il corso e offre un punto di riferimento concreto per reperire informazioni, ad esempio, sulle modalità di accesso al Corso e lo svolgimento delle attività didattiche.  Gli studenti possono rivolgersi al tutor anche per segnalare eventuali richieste relative ad aspetti logistici o organizzativi. Il tutor svolge, inoltre, un'attività di sostegno personalizzato all'apprendimento per quegli studenti, che per ragioni lavorative o altro, abbiano maggiori difficoltà a mantenere una chiara programmazione degli studi e degli esami.",Non ho trovato informazioni sulle funzioni del tutor del corso.,0.08247422680412371,0.0,0.06185567010309278,0.06185567010309278
Di cosa si occupa la segreteria studenti?,"La Segreteria studenti si occupa della gestione delle carriere degli studenti iscritti al Corso. In particolare, cura tutte le attività amministrative: dall'immatricolazione ai trasferimenti da e per altri corsi di studi, dal rilascio di certificati e duplicati al controllo delle tasse universitarie, dalla domanda di ammissione all'esame di laurea e al rilascio della pergamena di laurea.","La segreteria studenti si occupa di fornire informazioni e assistenza ai studenti dell'Università di Bologna. Tra i servizi offerti ci sono:

*   La gestione delle iscrizioni e delle matricole
*   L'assistenza con le richieste e le domande dei studenti
*   La fornitura di informazioni sui corsi di studio, sui servizi offerti dall'università e sulle opportunità di studio e di lavoro
*   La gestione delle richieste di certificati e di documenti per gli studenti
*   La gestione delle richieste di aiuto e di supporto per gli studenti

Inoltre, la segreteria studenti fornisce informazioni e assistenza sui seguenti servizi:

*   AlmaEsami: piattaforma per la gestione degli esami e delle votazioni
*   Studenti Online: piattaforma per la gestione delle iscrizioni, delle matricole e delle richieste di certificati e documenti
*   UniboStore: piattaforma per la gestione delle richieste di prodotti e servizi dell'università
*   Virtuale: piattaforma per la gestione delle attività online e degli eventi dell'università

La segreteria studenti è un punto di riferimento importante per gli studenti dell'Università di Bologna e fornisce informazioni e assistenza su tutti i servizi offerti dall'università.",0.21459227467811157,0.06926406926406926,0.1630901287553648,0.18025751072961374
Di cosa si occupa l'ufficio didattico?,"L'Ufficio Didattico si occupa di fornire informazioni e supporto agli studenti e ai docenti su temi attinenti alla didattica. Svolge una funzione di raccordo fra le attività relative ai piani di studio, esami, delibere del Corso e le procedure che garantiscono il regolare svolgimento dei percorsi accademici.","L'ufficio didattico sembra non essere menzionato esplicitamente nel testo fornito. Tuttavia, si può dedurre che l'ufficio che gestisce le iscrizioni e le attività degli studenti sia probabilmente l'Ufficio Studenti, che fornisce informazioni e supporto per le iscrizioni, le tasse e le attività degli studenti.

Tuttavia, non ho trovato informazioni specifiche sull'ufficio didattico.",0.2692307692307692,0.1176470588235294,0.1923076923076923,0.1923076923076923
Di cosa si occupa l'ufficio tirocini?,"L'ufficio tirocini offre supporto agli studenti nell’intraprendere l’attività di tirocinio e la valutazione delle offerte. Supporta, inoltre, le aziende per la stipula delle convenzioni di tirocinio secondo progetti formativi mirati al completamento del processo di apprendimento e formazione o al conseguimento del titolo di studio.",L'Ufficio Tirocini Area Scientifica si occupa di organizzare e gestire le attività di tirocinio per i corsi di studio in ambito scientifico triennali.,0.3333333333333333,0.14285714285714285,0.2777777777777778,0.2777777777777778
Di cosa si occupa l'ufficio relazioni internazionali?,L'ufficio Relazioni internazionali promuove i programmi di mobilità studentesca tramite l'organizzazione di riunioni informative. Offre un servizio di orientamento sulle opportunità di studio coi programmi di scambio e un supporto nella redazione della lettera di presentazione in lingua per la partecipazione ai programmi di scambio che prevedano un tirocinio all’estero.,"L'ufficio relazioni internazionali si occupa di gestire le opportunità di mobilità internazionale per gli studenti dell'Università di Bologna, come evidenziato dall'incontro informativo sul bando Erasmus Plus del 11:00 - 13:00, che si terrà in modalità online.",0.25806451612903225,0.10989010989010989,0.21505376344086022,0.21505376344086022
Cos'è il TOLC-I?,"l Test On Line Cisia (TOLC) è uno strumento di orientamento e valutazione delle capacità iniziali. È un test individuale, diverso per ogni partecipante, composto da quesiti selezionati automaticamente e casualmente dal database CISIA TOLC con un software realizzato e gestito dal CISIA. - Consorzio Interuniversitario Sistemi Integrati per l'Accesso. Il test TOLC si svolge al computer presso le sedi individuate dagli atenei che lo adottano e consente di  partecipare a qualunque selezione per la quale sia richiesto quel tipo di TOLC: non è necessario, quindi, sostenerlo presso la stessa sede del Corso di tuo interesse. Il TOLC-I è quello previsto per l'accesso a questo Corso e comprende 50 quesiti e dura 1 ora e 50 minuti: 20 di matematica (50 minuti), 10 di logica (20 minuti), 10 di scienze (20 minuti), 10 di comprensione verbale (20 minuti). Le prove comprendono anche una sezione di inglese facoltativa composta di 30 quesiti (15 minuti di prova aggiuntivi). Potrai sostenere il TOLC se hai già il diploma o se frequenti il quarto o il quinto anno delle scuole secondarie superiori.",Non ho trovato informazioni sul TOLC-I nel contesto fornito.,0.03225806451612903,0.010869565217391306,0.03225806451612903,0.03225806451612903
