domanda,risposta_gold,risposta
Quando posso svolgere tirocinio curriculare?,"E’ possibile inserirlo facoltativamente tra i crediti a scelta del terzo anno. E’ anche anticipabile al periodo estivo a termine del secondo anno (quando si presume che lo studente abbia sostenuto un numero di esami sufficiente ed acquisito le conoscenze di base da mettere in campo nello svolgimento delle attività pratiche), previo inserimento tramite piano cartaceo facendo richiesta a didatticasociale.svic@unibo.it nei periodi di apertura del piano di studi. Il prossimo periodo utile sarà a ottobre-novembre.","Il tirocinio curriculare può essere svolto dopo il conseguimento del titolo, ma gli specializzandi e i dottorandi devono essere iscritti all'ultimo anno del proprio corso di specializzazione/dottorato alla data di chiusura del bando (13 maggio 2024)."
Il tirocinio è obbligatorio?,"No. Corrisponde a 10 CFU a scelta libera, anche ottenibili attraverso esami.","Sì, il tirocinio è obbligatorio per gli studenti del Corso di Laurea in Sviluppo e Cooperazione Internazionale (SVIC) per 10 CFU (250h) da svolgere in Italia o all'estero, coerente con gli obiettivi formativi del Corso di Studio."
Dove posso svolgere il tirocinio? ,"Puoi svolgerlo presso Aziende/Enti convenzionati con l’Università di Bologna sia in Italia sia all'estero, oppure all'interno dell'Ateneo. Nel caso in cui il Soggetto Ospitante che hai scelto non sia già convenzionato con l'Università di Bologna è necessario procedere alla stipula di una convenzione. L’azienda/ente non convenzionato dovrà registrarsi secondo le procedure attraverso l’applicativo on-line ed essere sottoposto a valutazione della Commissione tirocini. ","Puoi svolgere il tirocinio presso Aziende/Enti convenzionati con l’Università di Bologna sia in Italia sia all'estero, oppure all'interno dell'Ateneo."
Come mi candido presso soggetti convenzionati? ,"Collegati all'applicativo tirocini. Troverai sotto il tasto <Aziende/Enti> i soggetti convenzionati ma privi di offerte attive, a cui potrai proporre la tua autocandidatura. Sotto il tasto <Offerte> trovi invece le offerte di tirocinio già attive a cui puoi presentare la tua candidatura. Nella richiesta bisogna allegare il CV ed eventualmente una lettera di motivazione (in un unico file). Nel presentare la tua autocandidatura ti verrà richiesto il nome del tuo Tutor accademico, prof.ssa Cristina Brasili.","Per candidarti presso soggetti convenzionati, segui questi passaggi:

1.  Collegati all'applicativo tirocini e trova l'elenco delle aziende convenzionate di tuo interesse.
2.  Sottoponi la tua autocandidatura, allegando il tuo CV e eventualmente una lettera di presentazione.
3.  Sarà possibile presentare la candidatura dal 28 marzo.

Ricorda di inserire i tuoi dati con precisione su www.studenti.unibo.it, in modo che possano essere riconosciuti automaticamente dall'Ateneo e che il tuo nominativo sia presente in graduatoria."
Come attivo un tirocinio presso un soggetto non convenzionato?,"Invia una mail all'indirizzo spbo.tirocini@unibo.it, indicando i tuoi dati personali (numero di matricola, corso di laurea, anno di iscrizione), il nome dell’Azienda/Ente in cui vorresti svolgere il tirocinio, gli obiettivi formativi del tirocinio che prevedi di svolgere e, infine, il nome e l’indirizzo mail della persona con cui sei in contatto. La Commissione Tirocini valuterà l'idoneità della struttura che proponi. La procedura può richiedere fino a un mese.","Per attivare un tirocinio presso un soggetto non convenzionato, è necessario seguire le seguenti procedure:

1.  L'azienda/ente non convenzionato dovrà registrarsi secondo le procedure attraverso l'applicativo on-line.
2.  L'azienda/ente dovrà essere sottoposta a valutazione della Commissione tirocini.
3.  Una volta completate queste procedure, l'azienda/ente potrà essere considerata convenzionata con l'Università di Bologna."
Posso comunque iniziare il tirocinio anche se non ho attivato o concluso la procedura in Applicativo?,"No! Al fine di garantire le coperture assicurative e il riconoscimento delle ore svolte, il tirocinio potrà iniziare solo a iter di attivazione concluso, ovvero quando sarà autorizzata la stampa del Registro delle Presenze.","No, non puoi iniziare il tirocinio se non hai attivato o concluso la procedura in Applicativo, poiché il tirocinio potrà iniziare solo a seguito dell'iter di attivazione concluso, ovvero quando sarà autorizzata la stampa del Registro delle Presenze."
Può anche essere utilizzato per la preparazione della relazione per la tesi finale?,"Sì, il progetto di Tirocinio dovrà essere preventivamente concordato con il relatore di tesi, approvato e comunicato al Tutor Accademico per gli adempimenti di sua competenza.","Sì, il laboratorio di economia può essere utilizzato per la preparazione della relazione per la tesi finale."
Come funziona l’attività di tirocinio all’estero?,"Il Tirocinio all’estero può essere riconosciuto come tirocinio (se inserito tra le attività a scelta) o, se breve, come crediti aggiuntivi non utili al conseguimento del titolo accademico, a discrezione del Corso di Studio. La domanda di riconoscimento dei CFU, da inviare al Coordinatore del corso di studi, può essere presentata da chi intende richiedere il riconoscimento di crediti aggiuntivi. Le modalità in cui è possibile svolgere un tirocinio all’estero sono le seguenti: Tirocinio curriculare: il tirocinio curricolare può essere fatto presso un’azienda estera con le stesse regole del tirocinio curricolare in Italia (senza borsa).Tirocinio durante l’Erasmus per studio: il tirocinio viene gestito dall’università estera (quindi lo studente deve prendere accordi con loro per la convenzione con l’azienda, le presenze e tutto ciò che riguarda lo svolgimento del tirocinio); Unibo si limita a riconoscere il tirocinio come qualsiasi altro esame presente nella richiesta di riconoscimento;Erasmus Placement: è un tirocinio intensivo (il periodo all’estero è esclusivamente dedicato ad esso) della durata massima di tre mesi; chi è vincitore del bando “Erasmus Placement” ottiene una borsa di studio.","Il tirocinio all'estero può essere svolto in due modalità: partecipando ad un programma di mobilità (come Erasmus+ tirocini o altri programmi di mobilità) o individuando un'azienda o un ente all'estero seguendo le stesse modalità previste per quelle italiane. Il Corso di Laurea in Sviluppo e Cooperazione Internazionale (SVIC) prevede la possibilità di svolgere un tirocinio curriculare da 10 CFU (250h) da svolgere in Italia o all'estero, coerente con gli obiettivi formativi del Corso di Studio, o un tirocinio per tesi da 10 CFU (250h)."
"Voglio laurearmi all'ultimo appello di marzo, devo iscrivermi al nuovo anno accademico?","No, non è necessario nè iscriversi nè presentare le ISEE. Se sei in dubbio di riuscire entro marzo puoi iscriverti e presentare le ISEE, la quota di iscrizione ti sarà restituita dopo la laurea.","No, perché per cambiare il piano di studi è necessario iscriversi all'anno accademico in corso, e questo è incompatibile con la laurea nella terza sessione dell'anno accademico precedente (ovvero Marzo)."
Posso modificare il piano di studio? ,Gli studenti che si iscrivono fuori corso possono modificare il piano di studi solo se intendono laurearsi a partire dal primo appello estivo successivo. Chi ritiene di potersi laureare entro la sessione di marzo dell'anno successivo non può modificare il piano di studi.,"Sì, il piano di studi può essere modificato più volte nel periodo di apertura."
Qual è la differenza tra Seduta di laurea e Proclamazione?,La Seduta di Laurea e la cerimonia di proclamazione si svolgono in due momenti distinti. Per la Seduta di laurea non è prevista la partecipazione dei laureandi; consiste nella valutazione dell'elaborato da parte della commissione. Invece la cerimonia di proclamazione è un momento che coinvolge i laureandi su base volontaria. ,"La differenza tra Seduta di laurea e Proclamazione è che la Seduta di laurea non prevede la partecipazione dei laureandi, mentre la Proclamazione è una cerimonia che si svolge in due momenti distinti e non ha valore legale."
La tesi viene discussa?,"No, non è prevista la discussione della tesi di laurea.","No, non è prevista la discussione della tesi di laurea."
Quali sono i requisiti di laurea?,Per poterti laureare devi soddisfare per tempo i requisiti di ammissione: Aver sostenuto e verbalizzato tutti gli esami previsti dal tuo piano di studi; Essere in regola con il pagamento delle tasse; Aver caricato la tesi in formato pdf su studenti online; Aver compilato il questionario AlmaLaurea su studenti online.,"I requisiti di laurea sono:

*   Buona conoscenza della lingua italiana
*   Buone competenze logico-matematiche
*   Conoscenza della lingua inglese corrispondente al livello A2 del quadro Europeo"
Posso scegliere con relatore/relatrice anche un docente che non insegna a SVIC?,"Sì, è possibile avere come relatore/relatrice qualsiasi docente UniBo, purchè abbia almeno un insegnamento attivo nell'a.a. corrente. L'insegnamento deve essere ritenuto compatibile con SVIC.","Sì, è possibile avere come relatore/relatrice qualsiasi docente UniBo, purché abbia almeno un insegnamento attivo nell'a.a. corrente. L'insegnamento deve essere ritenuto compatibile con SVIC."
Il Corso di Laurea prevede l’obbligo di frequenza? E’ possibile sostenere gli esami non partecipando alle lezioni?,Nessun insegnamento attivato prevede l'obbligo di frequenza. È possibile sostenere tutti gli esami senza frequentare le lezioni. Per eventuali modifiche relative alla natura del programma d’esame fare riferimento al sito appositamente dedicato.,"<question>
Nessun insegnamento attivato prevede l'obbligo di frequenza. È possibile sostenere tutti gli esami senza frequentare le lezioni.
</question>"
E' possibile seguire le lezioni online?,"Per l'a.a. 2023/24 non è più possibile seguire le lezioni online, così come dare gli esami a distanza. Fanno eccezione casistiche specifiche o decisioni di singoli professori.","No, non è più possibile seguire le lezioni online per l'a.a. 2023/24."
"Come, dove e quando si possono reperire i libri di testo?",Tutto il materiale utile alla preparazione degli esami è indicato dal docente sulla pagina dedicata all’insegnamento. Non è necessario acquistare alcun libro di testo prima dell’inizio delle lezioni. Tutti i libri di testo sono reperibili presso le biblioteche dei Dipartimenti di Scienze Economiche e di Scienze Statistiche.,I libri di testo sono reperibili presso le biblioteche dei Dipartimenti di Scienze Economiche e di Scienze Statistiche.
Cosa sono gli OFA?,"Per immatricolarti ai Corsi di Laurea e Laurea Magistrale a ciclo unico sono richieste alcune conoscenze di base. La verifica delle conoscenze attraverso il TOLC-E ha l’obiettivo di verificare che tu non abbia carenze significative nelle particolari discipline di cui è richiesta un'adeguata preparazione per affrontare con profitto il corso di studio prescelto. La verifica delle conoscenze è solitamente un test o una prova. Nel caso in cui dalla verifica emergessero lacune in uno o più argomenti ti potrai comunque iscrivere, ma dovrai svolgere alcune attività supplementari, denominate appunto Obblighi Formativi Aggiuntivi (OFA).",Gli Obblighi Formativi Aggiuntivi (OFA) sono attività supplementari che lo studente deve svolgere se non è in possesso delle conoscenze di base richieste dal Corso di Laurea.
Come fare per assolvere gli OFA?,L’obbligo formativo nelle competenze logico-matematiche e/o di quelle di lingua italiana si considera assolto quando lo studente abbia superato la relativa prova. Vengono organizzati dei corsi tenuti da Tutor per aiutare nella preparazione della prova. La frequenza non è obbligatoria ma fortemente consigliata.,"Per assolvere gli Obblighi Formativi Aggiuntivi (OFA), è necessario superare la relativa prova. Vengono organizzate attività di tutorato in cui gli studenti avranno la possibilità di sostenere una prova di assolvimento dell'OFA attraverso l'Applicativo AlmaMathematica, che sarà organizzata tra fine giugno/inizio luglio e settembre."
Entro quando è possibile assolvere gli OFA?,Per gli studenti iscritti all’anno accademico 22/23 la scadenza per il conseguimento dell’OFA è posticipata al 31 marzo 2024.,Il termine ultimo per assolvere gli OFA (e quindi per non risultare iscritti ripetenti) da parte degli studenti immatricolati nell’a.a. 2023/24 è il 31 marzo 2025.
Come funziona l’attività di supporto per l’assolvimento degli OFA di matematica?,Sono organizzate attività di tutorato in cui gli studenti avranno la possibilità di sostenere una prova di assolvimento dell’OFA attraverso l’Applicativo AlmaMathematica che sarà organizzata tra fine giugno/inizio luglio e settembre. Durante il periodo di tutorato lo studente ha la possibilità di esercitarsi attraverso l’applicativo AlmaMathematica. E’ fortemente consigliata la frequenza al tutorato.,"L'attività di supporto per l'assolvimento degli OFA di matematica è gestita tramite il tutorato, che è un servizio che aiuta gli studenti a prepararsi per la prova di assolvimento dell'OFA. Il tutorato è gestito tramite l'applicativo AlmaMathematica e viene organizzato tra fine giugno/inizio luglio e settembre."
Quali sono gli ambiti in cui è possibile avere un supporto per gli studenti con disabilità e con DSA?,"- Adattamento delle lezioni: È possibile registrare le lezioni, chiedere i materiali e le slide in anticipo o cambiare, ove possibile, l'aula di lezione se non è accessibile.
- Tutorato per lo studio: Il servizio è gestito tramite tutor alla pari (studenti di Laurea Magistrale) che supportano nella preparazione degli esami. 
- Materiale didattico in formato alternativo: Contattare: abis.testidigitali@unibo.it
- Sostenere esami: È possibile concordare delle agevolazioni per sostenere gli esami di profitto (sono necessari 15 giorni di preavviso rispetto alla data dell’appello).
- Adattamenti idoneità linguistica: CLA : È possibile concordare delle agevolazioni (es. tempo aggiuntivo del 50%, tutor lettore e/o scrittore) con un preavviso di almeno 15 giorni.","Gli ambiti in cui è possibile avere un supporto per gli studenti con disabilità e con DSA sono:

*   **Adattamento delle lezioni**
*   **Tutorato per lo studio**"
Quando si compila il piano di studi?,"Ci sono due finestre annue di apertura per la compilazione, indicativamente tra ottobre-novembre e febbraio-marzo.",Il piano di studi può essere compilato durante la compilazione del piano di studi online. La prossima finestra di compilazione si aprirà il 2 ottobre 2023.
Che cos’è il piano di studi e chi deve presentarlo?,"Il piano di studio è l'insieme di tutti gli esami che devi sostenere per poterti laureare. Alcuni esami sono obbligatori, mentre altri sono a scelta. Va presentato quando il piano didattico prevede un gruppo di scelta, nel caso di SVIC gli studenti del primo anno non lo devono presentare, mentre gli studenti del secondo e terzo anno sì.
Nota bene: La mancata presentazione del piano di studi prevede l’inserimento degli esami a scelta individuati annualmente nel piano di studi statutario. Tali esami possono eventualmente essere sostituiti dallo studente nei tempi indicati dall’amministrazione.","Il piano di studio è l'insieme di tutti gli esami che devi sostenere per poterti laureare. Può presentarlo chi è regolarmente iscritto, in regola con il pagamento delle tasse universitarie e in possesso del permesso di soggiorno in corso di validità nel caso di uno studente internazionale."
"Ho già presentato il piano di studi online ma vorrei apportare delle modifiche, posso farlo?","Sì, il piano di studi può essere modificato più volte nel periodo di apertura. Non è possibile modificarlo se è già scaduto il termine previsto. Gli studenti che si iscrivono fuori corso possono modificare il piano di studi solo se intendono laurearsi a partire dal primo appello estivo. Chi ritiene di potersi laureare entro la sessione di marzo dell'anno successivo non può modificare il piano di studi.","Sì, puoi apportare delle modifiche al piano di studi online, ma ricorda che non sono accettate più di 3 modifiche nell'intera durata della mobilità."
Chi deve presentare il piano di studi con modulo cartaceo?,"Chi intende sostenere un esame relativo ad un insegnamento non previsto tra quelli individuati dal Consiglio di Corso di Studio deve presentare una richiesta al Consiglio nei termini previsti dall’amministrazione presentando il piano di studi con modulo cartaceo. Il Consiglio valuterà la coerenza della scelta con il percorso formativo dello studente. Vedi domanda 5 e 6. Inoltre deve presentare il modulo cartaceo chi proviene da Trasferimento, Passaggio, Opzione e chi si immatricola in seguito a Decadenza, o a Rinuncia, o come Laurea successiva alla prima e deve convalidare degli esami sostenuti in a.a. precedenti.","Gli studenti che provengono da Trasferimento, Passaggio, Opzione e chi si immatricola in seguito a Decadenza, o a Rinuncia, o come Laurea successiva alla prima e deve convalidare degli esami sostenuti in a.a. precedenti."
Posso inserire nel piano di studi un insegnamento di un altro dipartimento?,"Sì, tra i CFU a scelta libera si può scegliere un insegnamento appartenente ad un qualsiasi Corso di laurea triennale (n.b. non è possibile sceglierlo da un Corso di laurea a ciclo unico). Ma è necessario che sia valutato coerente con il proprio Corso di appartenenza. Vedi domanda 6 per conoscere la procedura.","Sì, è necessario seguire una procedura specifica. È necessario rivolgersi alla Segreteria del Corso dal quale si vuole scegliere l'insegnamento e chiedere il nulla-osta per l'inserimento."
Cosa devo fare per inserire in piano di studi un insegnamento di un altro Corso?,"Se vuoi inserire in piano di studio che non appartiene a SVIC, ma ad un altro dipartimento è necessario seguire una procedura specifica. Innanzitutto è necessario rivolgersi alla Segreteria del Corso dal quale si vuole scegliere l'insegnamento e chiedere il nulla-osta per l'inserimento. Se questo viene concesso è necessario inviare copia dell'email a didatticasociale.svic@unibo.it e seguire la procedura che verrà indicata. Una volta compilati e inviati a didatticasociale.svic@unibo.it i moduli richiesti bisognerà attendere l'approvazione del coordinatore di Corso. Successivamente la Segreteria di SVIC provvederà a caricare il piano di studi online.","Per inserire in piano di studi un insegnamento di un altro Corso, è necessario seguire una procedura specifica. Innanzitutto, è necessario rivolgersi alla Segreteria del Corso dal quale si vuole scegliere l'insegnamento e chiedere il nulla-osta per l'inserimento. Se questo viene concesso, è necessario inviare copia dell'email a _didatticasociale.svic@unibo.it_ e seguire la procedura che verrà indicata."
Non riesco a compilare il piano di studi online: a chi devo rivolgermi?,"Prima di tutto occorre verificare di essere in regola con il pagamento delle tasse universitarie: se non si è in regola con il pagamento non è possibile presentare il piano di studi. Si ricorda che chi proviene da Trasferimento, Passaggio, Opzione e chi si immatricola in seguito a Decadenza, o a Rinuncia, o come Laurea successiva alla prima e deve convalidare degli esami sostenuti in a.a. precedenti, deve presentare il piano di studi con modulo cartaceo. Se non rientri nei casi elencati: contattare la Manager Didattica del corso, via mail didatticasociale.svic@unibo.it o al numero 051/2092823.","Se non riesci a compilare il piano di studi online, puoi rivolgerti a Sofia Fabbri, la referente del Servizio Studenti Online, che puoi contattare tramite:

* Sportello virtuale: https://teams.microsoft.com/l/meetup-join/19%3ameeting_MmU5MjA4ZmEtYzdkYy00NjcyLTk0MGEtM2YxM2Y4ZmY1OWJj%40thread.v2/0?context=%7b%22Tid%22%3a%22e99647dc-1b08-454a-bf8c-699181b389ab%22%2c%22Oid%22%3a%22adb4415f-2640-4b7d-a847-5f339bedf6f4%22%7d
* E-mail: sofia.fabbri16@unibo.it

Ricorda di inviare una copia dell'email anche a _didatticasociale.svic@unibo.it_ e seguire la procedura indicata."
