domanda,risposta_gold,risposta
Quando posso svolgere tirocinio curriculare?,"E’ possibile inserirlo facoltativamente tra i crediti a scelta del terzo anno. E’ anche anticipabile al periodo estivo a termine del secondo anno (quando si presume che lo studente abbia sostenuto un numero di esami sufficiente ed acquisito le conoscenze di base da mettere in campo nello svolgimento delle attività pratiche), previo inserimento tramite piano cartaceo facendo richiesta a didatticasociale.svic@unibo.it nei periodi di apertura del piano di studi. Il prossimo periodo utile sarà a ottobre-novembre.", Puoi svolgere tirocinio curriculare dopo il conseguimento del titolo e iscritto all’ultimo anno del proprio corso di specializzazione/dottorato alla data di chiusura del bando (13 maggio 2oteca 2024).
Il tirocinio è obbligatorio?,"No. Corrisponde a 10 CFU a scelta libera, anche ottenibili attraverso esami."," No, il tirocinio non è obbligatorio secondo il contesto fornito. È descritto come una ""possibilità"" all'interno del Corso di Laurea in Sviluppo e Cooperazione Internazionale (SVIC). Gli studenti possono scegliere di svolgerlo, ma non è un requisito obbligatorio per la laurea."
Dove posso svolgere il tirocinio? ,"Puoi svolgerlo presso Aziende/Enti convenzionati con l’Università di Bologna sia in Italia sia all'estero, oppure all'interno dell'Ateneo. Nel caso in cui il Soggetto Ospitante che hai scelto non sia già convenzionato con l'Università di Bologna è necessario procedere alla stipula di una convenzione. L’azienda/ente non convenzionato dovrà registrarsi secondo le procedure attraverso l’applicativo on-line ed essere sottoposto a valutazione della Commissione tirocini. "," Puoi svolgere il tirocinio presso aziende/enti convenzionati con l0 l'Università di Bologna sia in Italia sia all'estero. Se l'azienda/ente non convenzionato, dovrai procedere alla stipula di una convenzione. Gli enti non convenzionati devono registrarsi attraverso un apposito app per la valutazione della Commissione tirocini.
"
Come mi candido presso soggetti convenzionati? ,"Collegati all'applicativo tirocini. Troverai sotto il tasto <Aziende/Enti> i soggetti convenzionati ma privi di offerte attive, a cui potrai proporre la tua autocandidatura. Sotto il tasto <Offerte> trovi invece le offerte di tirocinio già attive a cui puoi presentare la tua candidatura. Nella richiesta bisogna allegare il CV ed eventualmente una lettera di motivazione (in un unico file). Nel presentare la tua autocandidatura ti verrà richiesto il nome del tuo Tutor accademico, prof.ssa Cristina Brasili."," Per candidarti presso soggetti convenzionati, devi seguire questi passaggi:

1. Registrati su ""Studenti Online"" (www.studenti.unibo.it) utilizzando SPID o CIE.
2. Se non possiedi SPID o CIE, scegli la ""Registrazione con codice fiscale"".
3. Se sei Studente con Disabilità e DSA, contatta direttamente l'indirizzo email forniticom: ases.adattamentiammissione@unibo.it.
4. Accedi a ""Studenti Online"" e clicca su ""Richiesta di ammissione – Partecipa alla selezione"".
5. Presenta la tua candidatura, assicurandoti che i dati di nascita inseriti coincidano esattamente con quelli su ""cisiaonline.it"".

Ricorda che la candidatura online è valida dal 28 marzo e che se non puoi scansionare il QR Code, potresti essere contattato in 48 ore per un meeting con maggiori informazioni."
Come attivo un tirocinio presso un soggetto non convenzionato?,"Invia una mail all'indirizzo spbo.tirocini@unibo.it, indicando i tuoi dati personali (numero di matricola, corso di laurea, anno di iscrizione), il nome dell’Azienda/Ente in cui vorresti svolgere il tirocinio, gli obiettivi formativi del tirocinio che prevedi di svolgere e, infine, il nome e l’indirizzo mail della persona con cui sei in contatto. La Commissione Tirocini valuterà l'idoneità della struttura che proponi. La procedura può richiedere fino a un mese."," Per attivare un tirocinio presso un soggetto non convenzionato con l'Università di Bologna, è necessario seguire le seguenti procedure:

1. Il soggetto non convenzionato deve registrarsi attraverso l'applicativo on-line.
2. Dopo la registrazione, sarà sottoposto a valutazione da parte della Commissione tirocini.

Se il soggetto supererà la valutazione, potrà quindi procedere alla stipula di una convenzione per il tirocinio. È importante notare che il tirocinio presso soggetti non convenzionati non è ammesso se il responsabile legale, il socio o il dirigente responsabile ha legami di parentela o mercato del lavoro con l'azienda o l'ente.

Queste informazioni sono basate sui dettagli forniti nel contesto. Se non si dispone di informazioni aggiuntive, queste sono le risposte più accurate."
Posso comunque iniziare il tirocinio anche se non ho attivato o concluso la procedura in Applicativo?,"No! Al fine di garantire le coperture assicurative e il riconoscimento delle ore svolte, il tirocinio potrà iniziare solo a iter di attivazione concluso, ovvero quando sarà autorizzata la stampa del Registro delle Presenze."," No, non puoi iniziare il tirocinio senza aver attivato o concluso la procedura nell'applicativo. Gli enti non convenzionati devono registrarsi attraverso l'applicativo e essere valutati dalla Commissione tirocini."
Può anche essere utilizzato per la preparazione della relazione per la tesi finale?,"Sì, il progetto di Tirocinio dovrà essere preventivamente concordato con il relatore di tesi, approvato e comunicato al Tutor Accademico per gli adempimenti di sua competenza."," Sì, può essere utilizzato per la preparazione della relazione per la tesi finale. Il contesto menziona che l'acquisizione delle abilità comunicative è prevista anche tramite la redazione della prova finale, che può includere la preparazione di relazioni e documenti scritti."
Come funziona l’attività di tirocinio all’estero?,"Il Tirocinio all’estero può essere riconosciuto come tirocinio (se inserito tra le attività a scelta) o, se breve, come crediti aggiuntivi non utili al conseguimento del titolo accademico, a discrezione del Corso di Studio. La domanda di riconoscimento dei CFU, da inviare al Coordinatore del corso di studi, può essere presentata da chi intende richiedere il riconoscimento di crediti aggiuntivi. Le modalità in cui è possibile svolgere un tirocinio all’estero sono le seguenti: Tirocinio curriculare: il tirocinio curricolare può essere fatto presso un’azienda estera con le stesse regole del tirocinio curricolare in Italia (senza borsa).Tirocinio durante l’Erasmus per studio: il tirocinio viene gestito dall’università estera (quindi lo studente deve prendere accordi con loro per la convenzione con l’azienda, le presenze e tutto ciò che riguarda lo svolgimento del tirocinio); Unibo si limita a riconoscere il tirocinio come qualsiasi altro esame presente nella richiesta di riconoscimento;Erasmus Placement: è un tirocinio intensivo (il periodo all’estero è esclusivamente dedicato ad esso) della durata massima di tre mesi; chi è vincitore del bando “Erasmus Placement” ottiene una borsa di studio."," L'attività di tirocinio all'estero può essere svolta seguendo due modalità: partecipando ad un programma di mobilità come Erasmus+ o individuando un'azienda o un ente all'estero. I tirocini durano da 2 a 6 mesi e devono essere concordati preventivamente con il relatore di tesi. Il contributo finanziario è calcolato in base al paese di destinazione, ai giorni di permanenza presso l'università partner e copre le maggiori spese sostenute. È necessario richiedere il riconoscimento dei CFU (Crediti Formativi Universitari) al Coordinatore del corso di studi. Studenti che si candidano direttamente all'estero possono richiedere il rimborso delle spese al rientro in Italia, ma è consigliato verificare le tariffe italiane e considerare un'assicurazione sanitaria complementare.

Nota: I dettagli specifici possono variare a seconda del programma e del paese di destinazione, quindi è fondamentale seguire le linee guida fornite dal Corso di Studio e dal Coordinatore del corso."
"Voglio laurearmi all'ultimo appello di marzo, devo iscrivermi al nuovo anno accademico?","No, non è necessario nè iscriversi nè presentare le ISEE. Se sei in dubbio di riuscire entro marzo puoi iscriverti e presentare le ISEE, la quota di iscrizione ti sarà restituita dopo la laurea."," No, non è necessario iscriverti al nuovo anno accademico per laurearti all'ultimo appello di marzo. Tuttavia, è importante pagare la prima rata o monorata delle tasse entro il 25 luglio 2024 per evitare la mora o interruzioni nella carriera accademica."
Posso modificare il piano di studio? ,Gli studenti che si iscrivono fuori corso possono modificare il piano di studi solo se intendono laurearsi a partire dal primo appello estivo successivo. Chi ritiene di potersi laureare entro la sessione di marzo dell'anno successivo non può modificare il piano di studi.," Sì, puoi modificare il piano di studio, ma solo se intendi laurearti a partire dal primo appello estivo e non se ritieni di poterti laureare entro la sessione di marzo dell'anno successivo. Inoltre, non più di 3 modifiche sono ammissibili durante l gesamte mobilità."
