domanda,risposta_gold,risposta,rouge1,rouge2,rougeL,rougeLsum
Sbocchi occupazionali del corso?,"Banche e Assicurazioni, Borse e Mercati, Società di consulenza, Società di sondaggi, Società di gestione dati, Società di Sviluppo Software, Settore dell'informazione, gestione del web, Logistica e gestione della produzione, Editoria e Comunicazione scientifica, Settore dei servizi, Marketing e gestione commerciale,Controllo di gestione."," I sbocchi occupazionali del corso sono: Banche e Assicurazioni, Borse e Mercati, Società di consulenza, Società di sondaggi, Società di gestione dati, Società di Sviluppo Software, Settore dell’informazione; gestione del web, Logistica e gestione della produzione, Editoria e Comunicazione scientifica, Settore dei servizi, Marketing e gestione commerciale, Controllo di gestione.",0.9375,0.9361702127659575,0.9375,0.9375
Principali funzioni in un contesto di lavoro?,"Applica le conoscenze matematiche acquisite a problemi diversi di tipo tecnologico, scientifico, economico-finanziario, elaborandone il modello matematico e sviluppando il software necessario. Identifica più soluzioni matematiche per risolvere un problema. Interpreta i bisogni del cliente (interno ed esterno), traducendoli in linguaggio matematico, anche utilizzando la conoscenza dei moderni strumenti informatici e del calcolo scientifico. Svolge attività di divulgazione scientifica con particolare riguardo alla matematica."," Le principali funzioni in un contesto di lavoro per un esperto matematico sono:

a. Applicare le conoscenze matematiche acquisite a problemi diversi di tipo tecnologico, scientifico, economico-finanziario, elaborandone il modello matematico e sviluppando il software necessario.
b. Identificare più soluzioni matematiche per risolvere un problema.
c. Interpretare i bisogni del cliente (interno ed esterno), traducendoli in linguaggio matematico, anche utilizzando la conoscenza dei moderni strumenti informatici e del calcolo scientifico.

Per acquisire maggiore autonomia e maggiori livelli di responsabilità nello svolgimento di alcune di queste attività e funzioni è necessario acquisire ulteriori competenze mediante la laurea magistrale.

Le sbocchi occupazionali per un esperto matematico sono:
- Banche e Assicurazioni.
- Borse e Mercati.
- Società di consulenza.
- Società di sondaggi.
- Società di gestione dati.
- Società di Sviluppo Software.
- Settore dell’informazione; gestione del web.
- Logistica e gestione della produzione.
- Editoria e Comunicazione scientifica.
- Settore dei servizi.
- Marketing e gestione commerciale.
- Controllo di gestione.",0.5116279069767441,0.460093896713615,0.5116279069767441,0.49302325581395345
Cosa Studierai?,"Il programma offre una formazione multidisciplinare con solide fondamenta teoriche ed empiriche per analisi approfondite, con un costante focus sulla prospettiva comparata e internazionale. Inoltre, include attività pratiche per un'applicazione concreta delle competenze acquisite.", Studierai secondo ciclo (laurea specialistica/magistrale) o master universitario di primo livello.,0.0,0.0,0.0,0.0
Esperienze all'estero?,"Nell'ambito delle esperienze all'estero, il Corso offre la possibilità di svolgere tirocini presso organizzazioni internazionali e partecipare a programmi di scambio. Queste esperienze offrono un contatto diretto con le realtà internazionali, arricchendo la comprensione delle dinamiche globali e fornendo un vantaggio concreto nel mercato del lavoro internazionale."," Per esperienze all'estero, potete iscriversi al Bando Erasmus Plus A.A. 2024/2025, che si terrà online il 16 gennaio 2024 dalle 11:00 alle 13:00. L'Ufficio Mobilità Internazionale di Scienze invita a un incontro informativo per informazioni dettagliate.",0.1758241758241758,0.04494382022471909,0.15384615384615383,0.15384615384615383
Le funzioni del tutor del corso?,"Il tutor svolge una funzione di interfaccia tra gli studenti e il corso e offre un punto di riferimento concreto per reperire informazioni, ad esempio, sulle modalità di accesso al Corso e lo svolgimento delle attività didattiche.  Gli studenti possono rivolgersi al tutor anche per segnalare eventuali richieste relative ad aspetti logistici o organizzativi. Il tutor svolge, inoltre, un'attività di sostegno personalizzato all'apprendimento per quegli studenti, che per ragioni lavorative o altro, abbiano maggiori difficoltà a mantenere una chiara programmazione degli studi e degli esami."," Le funzioni del tutor del corso sono:

a. Applicare le conoscenze matematiche acquisite a problemi diversi di tipo tecnologico, scientifico, economico-finanziario, elaborandone il modello matematico e sviluppando il software necessario.
b. Identificare più soluzioni matematiche per risolvere un problema.
c. Interpretare i bisogni del cliente (interno ed esterno), traducendoli in linguaggio matematico, anche utilizzando la conoscenza dei moderni strumenti informatici e del calcolo scientifico.
d. Svolgere attività di ricerca e collaborare con altri ricercatori.",0.17283950617283952,0.0125,0.11111111111111112,0.14814814814814817
Di cosa si occupa la segreteria studenti?,"La Segreteria studenti si occupa della gestione delle carriere degli studenti iscritti al Corso. In particolare, cura tutte le attività amministrative: dall'immatricolazione ai trasferimenti da e per altri corsi di studi, dal rilascio di certificati e duplicati al controllo delle tasse universitarie, dalla domanda di ammissione all'esame di laurea e al rilascio della pergamena di laurea."," La segreteria studenti si occupa di fornire supporto e servizi a tutti gli studenti dell'Università di Bologna. Tra le attività che svolge, vi sono l'organizzazione di eventi, l'assistenza per l'iscrizione ai corsi, l'informazione sui servizi offerti dall'ateneo, l'assistenza per la gestione dell'e-mail personale e il portale studenti.",0.3333333333333333,0.08928571428571427,0.21052631578947367,0.21052631578947367
Di cosa si occupa l'ufficio didattico?,"L'Ufficio Didattico si occupa di fornire informazioni e supporto agli studenti e ai docenti su temi attinenti alla didattica. Svolge una funzione di raccordo fra le attività relative ai piani di studio, esami, delibere del Corso e le procedure che garantiscono il regolare svolgimento dei percorsi accademici."," L'ufficio didattico si occupa della formazione e dell'insegnamento della matematica, traducendo i bisogni del cliente (interno ed esterno) in linguaggio matematico, utilizzando i moderni strumenti informatici e del calcolo scientifico. Inoltre, svolge attività di divulgazione scientifica con particolare riguardo alla matematica.",0.2637362637362637,0.08988764044943819,0.21978021978021978,0.21978021978021978
Di cosa si occupa l'ufficio tirocini?,"L'ufficio tirocini offre supporto agli studenti nell’intraprendere l’attività di tirocinio e la valutazione delle offerte. Supporta, inoltre, le aziende per la stipula delle convenzioni di tirocinio secondo progetti formativi mirati al completamento del processo di apprendimento e formazione o al conseguimento del titolo di studio.", L'Ufficio Tirocini si occupa della gestione dei tirocini per i corsi di studio in ambito scientifico triennali.,0.18181818181818182,0.09374999999999999,0.18181818181818182,0.18181818181818182
Di cosa si occupa l'ufficio relazioni internazionali?,L'ufficio Relazioni internazionali promuove i programmi di mobilità studentesca tramite l'organizzazione di riunioni informative. Offre un servizio di orientamento sulle opportunità di studio coi programmi di scambio e un supporto nella redazione della lettera di presentazione in lingua per la partecipazione ai programmi di scambio che prevedano un tirocinio all’estero.," L'Ufficio Relazioni Internazionali non è menzionato esplicitamente nel contesto fornito. Tuttavia, dal contesto, si può dedurre che l'Ufficio Mobilità Internazionale di Scienze si occupa di organizzare incontri informativi sul bando Erasmus Plus e di invitare a tali incontri.",0.2391304347826087,0.06666666666666667,0.19565217391304346,0.19565217391304346
Cos'è il TOLC-I?,"l Test On Line Cisia (TOLC) è uno strumento di orientamento e valutazione delle capacità iniziali. È un test individuale, diverso per ogni partecipante, composto da quesiti selezionati automaticamente e casualmente dal database CISIA TOLC con un software realizzato e gestito dal CISIA. - Consorzio Interuniversitario Sistemi Integrati per l'Accesso. Il test TOLC si svolge al computer presso le sedi individuate dagli atenei che lo adottano e consente di  partecipare a qualunque selezione per la quale sia richiesto quel tipo di TOLC: non è necessario, quindi, sostenerlo presso la stessa sede del Corso di tuo interesse. Il TOLC-I è quello previsto per l'accesso a questo Corso e comprende 50 quesiti e dura 1 ora e 50 minuti: 20 di matematica (50 minuti), 10 di logica (20 minuti), 10 di scienze (20 minuti), 10 di comprensione verbale (20 minuti). Le prove comprendono anche una sezione di inglese facoltativa composta di 30 quesiti (15 minuti di prova aggiuntivi). Potrai sostenere il TOLC se hai già il diploma o se frequenti il quarto o il quinto anno delle scuole secondarie superiori.", Il TOLC-I non è menzionato nel contesto fornito. Non è possibile fornire una risposta precisa senza ulteriori informazioni.,0.05181347150259068,0.020942408376963352,0.04145077720207254,0.04145077720207254
Quali TOLC sono validi per iscriversi al Corso?,"Per questo corso a numero programmato per l’a.a. 2024/25 sono validi: TOLC in presenza (TOLC@UNI) svolti nel 2023, TOLC in presenza (TOLC@UNI) svolti nel 2024, TOLC@casa svolti nel 2023, TOLC@casa svolti nel 2024 solo per chi appartiene al contingente “non-UE residenti all’estero”"," Per iscriversi al Corso, sono validi i TOLC (Test di Orientamento Linguistico Complementare) che verificano le conoscenze di base richieste per affrontare il Corso. Le modalità di verifica sono dettagliate nella pagina [Iscriversi al Corso](https://corsi.unibo.it/laurea-matematica/Pagine/iscriversi-al-corso.aspx).",0.1443298969072165,0.021052631578947368,0.1443298969072165,0.1443298969072165
Dove si svolge il TOLC?,"Puoi svolgere il TOLC in qualsiasi sede universitaria, anche diversa da quella in cui vuoi immatricolarti. Trovi date e sedi per sostenere il TOLC sul sito del CISIA. L’Università di Bologna organizza TOLC solo in presenza presso tutte le proprie sedi (Bologna, Cesena, Forlì, Ravenna, Rimini)."," Il TOLC (Taste of Life and Culture) si svolge a Bologna, precisamente nella Aula C del Plesso Belmeloro, Via Andreatta 8.",0.1176470588235294,0.030303030303030304,0.08823529411764706,0.08823529411764706
Come iscriversi al TOLC?,"Per sostenere il TOLC è necessario iscriversi con anticipo alle prove, sulla base delle scadenze definite dal CISIA.. L'iscrizione avviene online sul sito del CISIA e prevede il versamento di € 30. Verifica sul sito del CISIA: le date e le sedi alle quali puoi già iscriverti, la scadenza entro la quale devi iscriverti e i posti disponibili "," Per iscriversi al TOLC (Tirocini Online per laurea in Scienze), devi seguire le istruzioni dettagliate nella pagina [Iscriversi al Corso](https://corsi.unibo.it/laurea-matematica/Pagine/iscriversi-al-corso.aspx). Non sono fornite informazioni specifiche sulla procedura per iscriversi al TOLC nel contesto fornito.",0.13725490196078433,0.0,0.07843137254901959,0.07843137254901959
