domanda,risposta_gold,risposta
Quando posso svolgere tirocinio curriculare?,"E’ possibile inserirlo facoltativamente tra i crediti a scelta del terzo anno. E’ anche anticipabile al periodo estivo a termine del secondo anno (quando si presume che lo studente abbia sostenuto un numero di esami sufficiente ed acquisito le conoscenze di base da mettere in campo nello svolgimento delle attività pratiche), previo inserimento tramite piano cartaceo facendo richiesta a didatticasociale.svic@unibo.it nei periodi di apertura del piano di studi. Il prossimo periodo utile sarà a ottobre-novembre.", Puoi svolgere tirocinio curriculare al 3° anno.
Il tirocinio è obbligatorio?,"No. Corrisponde a 10 CFU a scelta libera, anche ottenibili attraverso esami."," Il tirocinio non è obbligatorio nel corso di Scienze Politiche Internazionali e Scienze Sociali per la Cooperazione, lo Sviluppo e la Pace (SVIC)."
Dove posso svolgere il tirocinio? ,"Puoi svolgerlo presso Aziende/Enti convenzionati con l’Università di Bologna sia in Italia sia all'estero, oppure all'interno dell'Ateneo. Nel caso in cui il Soggetto Ospitante che hai scelto non sia già convenzionato con l'Università di Bologna è necessario procedere alla stipula di una convenzione. L’azienda/ente non convenzionato dovrà registrarsi secondo le procedure attraverso l’applicativo on-line ed essere sottoposto a valutazione della Commissione tirocini. "," Puoi svolgere il tirocinio in qualsiasi luogo, sia in Italia che all'estero, in quanto l'opportunità di Erasmus+ mobilità per tirocinio consente di svolgere un tirocinio in un'organizzazione o in un'università all'estero."
Come mi candido presso soggetti convenzionati? ,"Collegati all'applicativo tirocini. Troverai sotto il tasto <Aziende/Enti> i soggetti convenzionati ma privi di offerte attive, a cui potrai proporre la tua autocandidatura. Sotto il tasto <Offerte> trovi invece le offerte di tirocinio già attive a cui puoi presentare la tua candidatura. Nella richiesta bisogna allegare il CV ed eventualmente una lettera di motivazione (in un unico file). Nel presentare la tua autocandidatura ti verrà richiesto il nome del tuo Tutor accademico, prof.ssa Cristina Brasili."," Per presentare la candidatura presso gli enti convenzionati, dovrai attendere dal 28 marzo. Per comprendere le peculiarità dei corsi, è utile guardare alle finalità e ai piani di studio. Per informazioni dettagliate sulla candidatura, consulta il sito del corso scelto."
Come attivo un tirocinio presso un soggetto non convenzionato?,"Invia una mail all'indirizzo spbo.tirocini@unibo.it, indicando i tuoi dati personali (numero di matricola, corso di laurea, anno di iscrizione), il nome dell’Azienda/Ente in cui vorresti svolgere il tirocinio, gli obiettivi formativi del tirocinio che prevedi di svolgere e, infine, il nome e l’indirizzo mail della persona con cui sei in contatto. La Commissione Tirocini valuterà l'idoneità della struttura che proponi. La procedura può richiedere fino a un mese."," Per attivare un tirocinio presso un soggetto non convenzionato, è necessario seguire questi passaggi:

1. Identificare il soggetto non convenzionato in cui si desidera svolgere il tirocinio.
2. Contattare il soggetto per esprimere il proprio interesse e verificare se è possibile svolgere un tirocinio.
3. Se il soggetto accetta, è necessario redigere un contratto di tirocinio, che specifica i termini e le condizioni del tirocinio, come durata, obiettivi, compiti e remunerazione (se applicabile).
4. Fare riferimento al contratto di tirocinio al Dipartimento di Servizi per gli studenti (DSS) dell'Università di Bologna, che lo accetta e lo registra.
5. In caso di tirocinio all'estero, è necessario contattare l'Ufficio Servizi Internazionali (USI) per verificare eventuali requisiti e formalità da seguire.
6. In caso di tirocinio non remunerato, è necessario verificare se il tirocinio è inquadrabile come attività formativa obbligatoria (AFO) o come attività formativa facoltativa (AFF).
7. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito.
8. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
9. In caso di tirocinio all'estero, è necessario verificare se il soggetto è stato accreditato come ente di riferimento.
10. In caso di tirocinio all'estero, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
11. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
12. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
13. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
14. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
15. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
16. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
17. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
18. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
19. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
20. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
21. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
22. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS"
Posso comunque iniziare il tirocinio anche se non ho attivato o concluso la procedura in Applicativo?,"No! Al fine di garantire le coperture assicurative e il riconoscimento delle ore svolte, il tirocinio potrà iniziare solo a iter di attivazione concluso, ovvero quando sarà autorizzata la stampa del Registro delle Presenze."," Non, non è possibile iniziare il tirocinio se non si è ancora attivato o non si è ancora concluso la procedura nel relativo applicativo."
Può anche essere utilizzato per la preparazione della relazione per la tesi finale?,"Sì, il progetto di Tirocinio dovrà essere preventivamente concordato con il relatore di tesi, approvato e comunicato al Tutor Accademico per gli adempimenti di sua competenza."," Sì, gli strumenti forniti, come la piattaforma di tesi online, il sito Titulus, UniboImmagine, U-Web Reporting - Reportistica Contabile Progetti, Virtuale, possono essere utilizzati anche per la preparazione della relazione per la tesi finale."
Come funziona l’attività di tirocinio all’estero?,"Il Tirocinio all’estero può essere riconosciuto come tirocinio (se inserito tra le attività a scelta) o, se breve, come crediti aggiuntivi non utili al conseguimento del titolo accademico, a discrezione del Corso di Studio. La domanda di riconoscimento dei CFU, da inviare al Coordinatore del corso di studi, può essere presentata da chi intende richiedere il riconoscimento di crediti aggiuntivi. Le modalità in cui è possibile svolgere un tirocinio all’estero sono le seguenti: Tirocinio curriculare: il tirocinio curricolare può essere fatto presso un’azienda estera con le stesse regole del tirocinio curricolare in Italia (senza borsa).Tirocinio durante l’Erasmus per studio: il tirocinio viene gestito dall’università estera (quindi lo studente deve prendere accordi con loro per la convenzione con l’azienda, le presenze e tutto ciò che riguarda lo svolgimento del tirocinio); Unibo si limita a riconoscere il tirocinio come qualsiasi altro esame presente nella richiesta di riconoscimento;Erasmus Placement: è un tirocinio intensivo (il periodo all’estero è esclusivamente dedicato ad esso) della durata massima di tre mesi; chi è vincitore del bando “Erasmus Placement” ottiene una borsa di studio."," L'attività di tirocinio all'estero, come si può notare dal contesto, avviene nel terzo anno del corso ""Sviluppo Cooperazione Internazionale"" presso l'Università di Bologna. Il tirocinio è una parte importante del corso, che ha come obiettivo di formare le competenze essenziali per la comprensione dei caratteri dominanti dell'Organizzazione, Comunicazione, Sociologia, Relazioni Internazionali, Percorso Integrato Università e Impresa (PIL). Il tirocinio avviene all'estero, e le lingue di studio sono l'inglese e una seconda lingua tra il francese, il tedesco, lo spagnolo e il russo. Il tirocinio è possibile al terzo anno, ma può essere anticipato anche al secondo."
"Voglio laurearmi all'ultimo appello di marzo, devo iscrivermi al nuovo anno accademico?","No, non è necessario nè iscriversi nè presentare le ISEE. Se sei in dubbio di riuscire entro marzo puoi iscriverti e presentare le ISEE, la quota di iscrizione ti sarà restituita dopo la laurea."," Sì, se vuoi laurearti all'ultimo appello di marzo, devi iscriverti al nuovo anno accademico dal 28 marzo."
Posso modificare il piano di studio? ,Gli studenti che si iscrivono fuori corso possono modificare il piano di studi solo se intendono laurearsi a partire dal primo appello estivo successivo. Chi ritiene di potersi laureare entro la sessione di marzo dell'anno successivo non può modificare il piano di studi., Non è possibile modificare il piano di studio. Il piano di studio è stabilito e non può essere modificato durante il corso degli studi.
Qual è la differenza tra Seduta di laurea e Proclamazione?,La Seduta di Laurea e la cerimonia di proclamazione si svolgono in due momenti distinti. Per la Seduta di laurea non è prevista la partecipazione dei laureandi; consiste nella valutazione dell'elaborato da parte della commissione. Invece la cerimonia di proclamazione è un momento che coinvolge i laureandi su base volontaria. ," La differenza tra Seduta di laurea e Proclamazione è che la Seduta di laurea è l'evento in cui si svolge la cerimonia di consegna dei diplomi, mentre la Proclamazione è l'atto ufficiale con cui viene riconosciuta la laurea da parte dell'Università. In genere, la Proclamazione avviene prima della Seduta di laurea."
La tesi viene discussa?,"No, non è prevista la discussione della tesi di laurea.", La tesi non viene specificatamente menzionata come oggetto di discussione nel contesto fornito.
Quali sono i requisiti di laurea?,Per poterti laureare devi soddisfare per tempo i requisiti di ammissione: Aver sostenuto e verbalizzato tutti gli esami previsti dal tuo piano di studi; Essere in regola con il pagamento delle tasse; Aver caricato la tesi in formato pdf su studenti online; Aver compilato il questionario AlmaLaurea su studenti online.," Per presentare la candidatura, sarà possibile dal 28 marzo. La laurea richiede di aver superato un corso di laurea, oppure di aver maturato un numero minimo di CFU in determinati ambiti. Inoltre, a seconda del corso prescelto, potrebbero essere richiesti specifici requisiti di laurea. Ad esempio, per il corso ""Sviluppo Cooperazione Internazionale"" non è richiesto un corso specifico di laurea, ma potrebbero essere richiesti specifici CFU in determinati ambiti. Per ulteriori informazioni, si consiglia di visitare la home page del sito del corso prescelto."
Posso scegliere con relatore/relatrice anche un docente che non insegna a SVIC?,"Sì, è possibile avere come relatore/relatrice qualsiasi docente UniBo, purchè abbia almeno un insegnamento attivo nell'a.a. corrente. L'insegnamento deve essere ritenuto compatibile con SVIC."," No, non è possibile scegliere un relatore/relatrice che non insegna a SVIC. Il relatore/relatrice è scelto tra i docenti che insegnano nel corso di laurea SVIC."
Il Corso di Laurea prevede l’obbligo di frequenza? E’ possibile sostenere gli esami non partecipando alle lezioni?,Nessun insegnamento attivato prevede l'obbligo di frequenza. È possibile sostenere tutti gli esami senza frequentare le lezioni. Per eventuali modifiche relative alla natura del programma d’esame fare riferimento al sito appositamente dedicato., Il Corso di Laurea prevede l'obbligo di frequenza. Non è possibile sostenere gli esami senza aver partecipato alle lezioni.
E' possibile seguire le lezioni online?,"Per l'a.a. 2023/24 non è più possibile seguire le lezioni online, così come dare gli esami a distanza. Fanno eccezione casistiche specifiche o decisioni di singoli professori."," Sì, è possibile seguire le lezioni online."
"Come, dove e quando si possono reperire i libri di testo?",Tutto il materiale utile alla preparazione degli esami è indicato dal docente sulla pagina dedicata all’insegnamento. Non è necessario acquistare alcun libro di testo prima dell’inizio delle lezioni. Tutti i libri di testo sono reperibili presso le biblioteche dei Dipartimenti di Scienze Economiche e di Scienze Statistiche.," Per reperire i libri di testo, è possibile accedere alla sezione ""Servizi bibliotecari"" presente sul sito web dell'Università di Bologna (<http://www.sba.unibo.it/it>). Qui è possibile cercare i libri di testo tramite il catalogo online e ordinare la loro consegna presso la biblioteca più vicina. Inoltre, per alcuni corsi, i libri di testo sono disponibili online tramite la sezione ""Tesi online"" (<http://www.unibo.it/it/servizi-e-opportunita/servizi-online/guida-servizi-online-studenti/ams-tesi-online>)."
Cosa sono gli OFA?,"Per immatricolarti ai Corsi di Laurea e Laurea Magistrale a ciclo unico sono richieste alcune conoscenze di base. La verifica delle conoscenze attraverso il TOLC-E ha l’obiettivo di verificare che tu non abbia carenze significative nelle particolari discipline di cui è richiesta un'adeguata preparazione per affrontare con profitto il corso di studio prescelto. La verifica delle conoscenze è solitamente un test o una prova. Nel caso in cui dalla verifica emergessero lacune in uno o più argomenti ti potrai comunque iscrivere, ma dovrai svolgere alcune attività supplementari, denominate appunto Obblighi Formativi Aggiuntivi (OFA)."," Gli OFA (Obblighi di Formazione Aggiuntiva) sono obblighi di formazione aggiuntiva che possono essere richiesti agli studenti per completare il loro percorso di studio. Non sono specificatamente menzionati nel contesto fornito, quindi non è possibile fornire informazioni dettagliate su di essi."
Come fare per assolvere gli OFA?,L’obbligo formativo nelle competenze logico-matematiche e/o di quelle di lingua italiana si considera assolto quando lo studente abbia superato la relativa prova. Vengono organizzati dei corsi tenuti da Tutor per aiutare nella preparazione della prova. La frequenza non è obbligatoria ma fortemente consigliata.," Per assolvere gli OFA, dovrai attendere dal 28 marzo per presentare la candidatura. Non sono fornite informazioni specifiche su come eseguire il processo di iscrizione. Per maggiori dettagli, consulta la pagina web dell'Università di Bologna."
Entro quando è possibile assolvere gli OFA?,Per gli studenti iscritti all’anno accademico 22/23 la scadenza per il conseguimento dell’OFA è posticipata al 31 marzo 2024., Entro il secondo anno è possibile assolvere gli OFA.
Come funziona l’attività di supporto per l’assolvimento degli OFA di matematica?,Sono organizzate attività di tutorato in cui gli studenti avranno la possibilità di sostenere una prova di assolvimento dell’OFA attraverso l’Applicativo AlmaMathematica che sarà organizzata tra fine giugno/inizio luglio e settembre. Durante il periodo di tutorato lo studente ha la possibilità di esercitarsi attraverso l’applicativo AlmaMathematica. E’ fortemente consigliata la frequenza al tutorato.," L'attività di supporto per l'assolvimento degli OFA di matematica si trova nel servizio DSA/Disabilità, che fornisce strumenti di base per l'analisi del comportamento di individui e gruppi nell'arena politica e nella vita sociale organizzata. Non sono fornite informazioni specifiche sull'attività di supporto per l'assolvimento degli OFA di matematica, ma il servizio DSA/Disabilità è disponibile per l'intero percorso di studio."
Quali sono gli ambiti in cui è possibile avere un supporto per gli studenti con disabilità e con DSA?,"- Adattamento delle lezioni: È possibile registrare le lezioni, chiedere i materiali e le slide in anticipo o cambiare, ove possibile, l'aula di lezione se non è accessibile.
- Tutorato per lo studio: Il servizio è gestito tramite tutor alla pari (studenti di Laurea Magistrale) che supportano nella preparazione degli esami. 
- Materiale didattico in formato alternativo: Contattare: abis.testidigitali@unibo.it
- Sostenere esami: È possibile concordare delle agevolazioni per sostenere gli esami di profitto (sono necessari 15 giorni di preavviso rispetto alla data dell’appello).
- Adattamenti idoneità linguistica: CLA : È possibile concordare delle agevolazioni (es. tempo aggiuntivo del 50%, tutor lettore e/o scrittore) con un preavviso di almeno 15 giorni."," Gli studenti con disabilità possono trovare supporto in ambito di servizi DSA/Disabilità, che forniscono assistenza per le esigenze specifiche di apprendimento e di studio. Questo supporto è disponibile per gli studenti che hanno bisogno di DSA (Dispositivi Aiutato Studio) per l'apprendimento."
Quando si compila il piano di studi?,"Ci sono due finestre annue di apertura per la compilazione, indicativamente tra ottobre-novembre e febbraio-marzo.", Il piano di studi viene pubblicato il 15 gennaio 2024.
Che cos’è il piano di studi e chi deve presentarlo?,"Il piano di studio è l'insieme di tutti gli esami che devi sostenere per poterti laureare. Alcuni esami sono obbligatori, mentre altri sono a scelta. Va presentato quando il piano didattico prevede un gruppo di scelta, nel caso di SVIC gli studenti del primo anno non lo devono presentare, mentre gli studenti del secondo e terzo anno sì.
Nota bene: La mancata presentazione del piano di studi prevede l’inserimento degli esami a scelta individuati annualmente nel piano di studi statutario. Tali esami possono eventualmente essere sostituiti dallo studente nei tempi indicati dall’amministrazione."," Il ""piano di studio"" è un programma di studi che descrive il contenuto e l'organizzazione dei corsi di laurea in un ateneo italiano. Chi deve presentarlo è il corso di studio in questione."
"Ho già presentato il piano di studi online ma vorrei apportare delle modifiche, posso farlo?","Sì, il piano di studi può essere modificato più volte nel periodo di apertura. Non è possibile modificarlo se è già scaduto il termine previsto. Gli studenti che si iscrivono fuori corso possono modificare il piano di studi solo se intendono laurearsi a partire dal primo appello estivo. Chi ritiene di potersi laureare entro la sessione di marzo dell'anno successivo non può modificare il piano di studi."," Sì, puoi apportare modifiche al tuo piano di studio. Tuttavia, devi seguire le procedure stabilite dall'Università di Bologna. In generale, è possibile apportare modifiche ai corsi di studio solo entro determinati termini, come ad esempio al termine del primo anno per modificare il secondo e viceversa. Per ulteriori informazioni, consulta il sito web dell'Università di Bologna o contatta il personale amministrativo."
Chi deve presentare il piano di studi con modulo cartaceo?,"Chi intende sostenere un esame relativo ad un insegnamento non previsto tra quelli individuati dal Consiglio di Corso di Studio deve presentare una richiesta al Consiglio nei termini previsti dall’amministrazione presentando il piano di studi con modulo cartaceo. Il Consiglio valuterà la coerenza della scelta con il percorso formativo dello studente. Vedi domanda 5 e 6. Inoltre deve presentare il modulo cartaceo chi proviene da Trasferimento, Passaggio, Opzione e chi si immatricola in seguito a Decadenza, o a Rinuncia, o come Laurea successiva alla prima e deve convalidare degli esami sostenuti in a.a. precedenti."," Per presentare il piano di studi con modulo cartaceo, è necessario attendere il 28 marzo."
Posso inserire nel piano di studi un insegnamento di un altro dipartimento?,"Sì, tra i CFU a scelta libera si può scegliere un insegnamento appartenente ad un qualsiasi Corso di laurea triennale (n.b. non è possibile sceglierlo da un Corso di laurea a ciclo unico). Ma è necessario che sia valutato coerente con il proprio Corso di appartenenza. Vedi domanda 6 per conoscere la procedura."," Sì, è possibile inserire un insegnamento di un altro dipartimento nel piano di studi. Tuttavia, la scelta dei corsi dipende dall'ambito disciplinare a cui afferiscono, come indicato dalla sigla dei Settori Scientifico Disciplinari (SSD). Per comprendere come sono equilibrati i diversi SSD all'interno del piano didattico, puoi guardare la sigla che trovi indicata nella colonna accanto a quella dei CFU."
Cosa devo fare per inserire in piano di studi un insegnamento di un altro Corso?,"Se vuoi inserire in piano di studio che non appartiene a SVIC, ma ad un altro dipartimento è necessario seguire una procedura specifica. Innanzitutto è necessario rivolgersi alla Segreteria del Corso dal quale si vuole scegliere l'insegnamento e chiedere il nulla-osta per l'inserimento. Se questo viene concesso è necessario inviare copia dell'email a didatticasociale.svic@unibo.it e seguire la procedura che verrà indicata. Una volta compilati e inviati a didatticasociale.svic@unibo.it i moduli richiesti bisognerà attendere l'approvazione del coordinatore di Corso. Successivamente la Segreteria di SVIC provvederà a caricare il piano di studi online."," Per inserire un insegnamento di un altro Corso nel piano di studi, dovresti cliccare sul titolo dell'insegnamento, trovare il programma completo e la bibliografia d'esame. Successivamente, dovresti consultare il sito del Corso prescelto per verificare se l'insegnamento è accreditato e se può essere inserito nel tuo piano di studi."
Non riesco a compilare il piano di studi online: a chi devo rivolgermi?,"Prima di tutto occorre verificare di essere in regola con il pagamento delle tasse universitarie: se non si è in regola con il pagamento non è possibile presentare il piano di studi. Si ricorda che chi proviene da Trasferimento, Passaggio, Opzione e chi si immatricola in seguito a Decadenza, o a Rinuncia, o come Laurea successiva alla prima e deve convalidare degli esami sostenuti in a.a. precedenti, deve presentare il piano di studi con modulo cartaceo. Se non rientri nei casi elencati: contattare la Manager Didattica del corso, via mail didatticasociale.svic@unibo.it o al numero 051/2092823."," Per compilare il piano di studi online, puoi rivolgerti al personale di AlmaEsami, che ti fornirà l'assistenza necessaria.

Link per accedere a AlmaEsami: [almaesami.unibo.it/almaesami/welcome.htm](almaesami.unibo.it/almaesami/welcome.htm)"
"Se ho modificato il mio piano di studi inserendo dei nuovi corsi, qual è la prima sessione utile per poter sostenere gli esami associati?","Prima di poter sostenere un esame bisogna aver acquisito la frequenza del corso associato. Quindi, in generale, la prima sessione utile per sostenere un esame è quella immediatamente successiva all'erogazione del corso associato, dal momento in cui l'esame è stato inserito nel piano di studio."," La prima sessione utile per poter sostenere gli esami associati al nuovo piano di studi, dopo aver modificato il mio piano di studi, è al 3° anno. In questo anno, infatti, sono previsti due esami a scelta per approfondire e delineare i temi privilegiati dallo studente, oltreché uno studio storico obbligatorio di una delle diverse aree del mondo."
Posso inserire un esame in piano di studi a ottobre e sostenerlo a gennaio anche se le lezioni si svolgono nel secondo semestre?,"No, perché gli esami non possono essere sostenuti prima che si siano svolte le lezioni di quella materia dell’anno accademico in cui l’esame viene inserito in piano di studi."," No, non è possibile inserire un esame in piano di studi a ottobre e sostenerlo a gennaio se le lezioni si svolgono nel secondo semestre. Il piano di studio prevede che gli esami siano programmati al termine del semestre in cui le lezioni sono state impartite."
Ho nel mio piano di studio un esame che adesso risulta essere uno dei moduli di in corso integrato. Posso ancora sostenerlo?,"Se l'esame è stato inserito nel piano di studio quando il corso non era un modulo, ma un corso a sé stante, lo studente ha sempre il diritto a sostenerne l'esame e registrarlo come tale."," Sì, puoi ancora sostenere l'esame, poiché è uno dei moduli di insegnamento corso integrato."
"Se intendo laurearmi a marzo, posso cambiare il piano di studi in ottobre dell’anno solare precedente?","No, perché per cambiare il piano di studi è necessario iscriversi all’anno accademico in corso e questo è incompatibile con la laurea nella terza sessione dell’anno accademico precedente (ovvero Marzo)."," No, non è possibile cambiare il piano di studi in ottobre dell'anno solare precedente se si intende laurearmi a marzo. La candidatura si può presentare dal 28 marzo, ma il cambiamento del piano di studi avviene solitamente durante l'anno accademico, non prima della fine di esso."
Posso inserire un esame in piano di studi a febbraio e sostenere l’esame a maggio anche se le lezioni si sono svolte al primo semestre?,Sì., Non è possibile inserire un esame in piano di studi a febbraio e sostenere l'esame a maggio se le lezioni si sono svolte al primo semestre. Il piano di studi è strutturato in modo tale che gli esami siano previsti in base alla sequenza delle lezioni e non è possibile anticipare o ritardare l'esame.
Posso cambiare il piano di studi se sono fuori corso?,"Sì, ma solo nel primo anno di fuori corso con le stesse regole degli altri studenti. Negli anni fuori corso successivi il piano di studi non è modificabile."," No, non è possibile cambiare il piano di studi se si trova fuori corso. Il piano di studi è stato scelto in base alle classi di laurea e alle specifiche aree di studio. Se si è fuori corso, non è possibile cambiare il piano di studi."
"Un corso mi interessa, ma è un modulo di un corso integrato. Posso inserire solo questo modulo nel mio piano di studi?","No, non è possibile inserire singoli moduli di un corso integrato nel piano di studi. Fanno eccezione gli studenti Erasmus Incoming."," Sì, puoi inserire solo questo modulo nel tuo piano di studi, poiché il corso è integrato e ogni modulo può essere personalizzato. Tuttavia, è importante notare che il corso integrato è solo un'opzione e puoi scegliere uno dei cinque curricula proposti dal Corso: Scienze dell’Organizzazione, Comunicazione, Sociologia, Relazioni internazionali, Percorso Integrato Università e Impresa (PIL)."
"Svolgerò un periodo di studi all’estero (Erasmus, Overseas…), devo presentare il piano di studi?","Il piano di studi deve essere presentato secondo le modalità e le scadenze previste per il corso di studi, indipendentemente dal periodo di mobilità. In sede di compilazione, è possibile scegliere esami Unibo non corrispondenti a quelli che si intendono sostenere all’estero e che eventualmente non hanno una corrispondenza precisa presso Unibo, purché questi siano esami a scelta libera. Si richiede invece una maggiore corrispondenza nel caso in cui gli esami da sostenere nel periodo all’estero facciano parte del gruppo di esami obbligatori presenti nel rispettivo piano di studi. Qualora l’esame non venga sostenuto nel periodo di studi all’estero si renderà necessario sostenere il suo corrispettivo, inserito nel piano di studi originario, una volta rientrati presso l’Ateneo di Bologna."," Sì, se svolgerai un periodo di studi all'estero, devi presentare il piano di studi."
