domanda,risposta_gold,risposta,rouge1,rouge2,rougeL,rougeLsum
Quando posso svolgere tirocinio curriculare?,"E’ possibile inserirlo facoltativamente tra i crediti a scelta del terzo anno. E’ anche anticipabile al periodo estivo a termine del secondo anno (quando si presume che lo studente abbia sostenuto un numero di esami sufficiente ed acquisito le conoscenze di base da mettere in campo nello svolgimento delle attività pratiche), previo inserimento tramite piano cartaceo facendo richiesta a didatticasociale.svic@unibo.it nei periodi di apertura del piano di studi. Il prossimo periodo utile sarà a ottobre-novembre.",Puoi svolgere tirocinio curriculare al 3° anno.,0.046511627906976744,0.0,0.046511627906976744,0.046511627906976744
Il tirocinio è obbligatorio?,"No. Corrisponde a 10 CFU a scelta libera, anche ottenibili attraverso esami.","No, il tirocinio non è obbligatorio.",0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941
Dove posso svolgere il tirocinio? ,"Puoi svolgerlo presso Aziende/Enti convenzionati con l’Università di Bologna sia in Italia sia all'estero, oppure all'interno dell'Ateneo. Nel caso in cui il Soggetto Ospitante che hai scelto non sia già convenzionato con l'Università di Bologna è necessario procedere alla stipula di una convenzione. L’azienda/ente non convenzionato dovrà registrarsi secondo le procedure attraverso l’applicativo on-line ed essere sottoposto a valutazione della Commissione tirocini. ",Non sono in grado di trovare informazioni sul luogo dove svolgere il tirocinio.,0.09523809523809525,0.0,0.04761904761904762,0.04761904761904762
Come mi candido presso soggetti convenzionati? ,"Collegati all'applicativo tirocini. Troverai sotto il tasto <Aziende/Enti> i soggetti convenzionati ma privi di offerte attive, a cui potrai proporre la tua autocandidatura. Sotto il tasto <Offerte> trovi invece le offerte di tirocinio già attive a cui puoi presentare la tua candidatura. Nella richiesta bisogna allegare il CV ed eventualmente una lettera di motivazione (in un unico file). Nel presentare la tua autocandidatura ti verrà richiesto il nome del tuo Tutor accademico, prof.ssa Cristina Brasili.","Non sono in grado di fornire informazioni su come candidarsi presso soggetti convenzionati, poiché non ho trovato alcuna informazione su soggetti convenzionati nel testo fornito.",0.0970873786407767,0.019801980198019802,0.05825242718446603,0.05825242718446603
Come attivo un tirocinio presso un soggetto non convenzionato?,"Invia una mail all'indirizzo spbo.tirocini@unibo.it, indicando i tuoi dati personali (numero di matricola, corso di laurea, anno di iscrizione), il nome dell’Azienda/Ente in cui vorresti svolgere il tirocinio, gli obiettivi formativi del tirocinio che prevedi di svolgere e, infine, il nome e l’indirizzo mail della persona con cui sei in contatto. La Commissione Tirocini valuterà l'idoneità della struttura che proponi. La procedura può richiedere fino a un mese.","Mi dispiace, ma non sono in grado di fornire una risposta precisa alla tua domanda. Il testo fornito non contiene informazioni specifiche su come attivare un tirocinio presso un soggetto non convenzionato. Tuttavia, posso suggerire alcune possibili risorse per ottenere maggiori informazioni su questo argomento:

*   Il sito web dell'Università di Bologna (unibo.it) potrebbe avere una sezione dedicata ai tirocini e alle convenzioni, dove potresti trovare informazioni utili.
*   Il portale di ateneo (studenti.unibo.it) potrebbe avere una sezione dedicata ai tirocini e alle convenzioni, con informazioni su come attivare un tirocinio presso un soggetto non convenzionato.
*   Il sito web del Dipartimento di Scienze Politiche, Sociologia e Istituzioni (corsi.unibo.it) potrebbe avere informazioni specifiche sui tirocini e sulle convenzioni per gli studenti del corso di laurea in Scienze Politiche, Sociologia e Istituzioni.

Spero che queste informazioni ti siano utili.",0.23963133640552994,0.02790697674418605,0.10138248847926268,0.14746543778801843
Posso comunque iniziare il tirocinio anche se non ho attivato o concluso la procedura in Applicativo?,"No! Al fine di garantire le coperture assicurative e il riconoscimento delle ore svolte, il tirocinio potrà iniziare solo a iter di attivazione concluso, ovvero quando sarà autorizzata la stampa del Registro delle Presenze.","No, non è possibile iniziare il tirocinio se non hai attivato o concluso la procedura in Applicativo.",0.24,0.041666666666666664,0.2,0.2
Può anche essere utilizzato per la preparazione della relazione per la tesi finale?,"Sì, il progetto di Tirocinio dovrà essere preventivamente concordato con il relatore di tesi, approvato e comunicato al Tutor Accademico per gli adempimenti di sua competenza.","Sì, il corso di laurea in Scienze Politiche, Sociali e Internazionali (SVIC) offre gli strumenti per un approccio multidisciplinare alla conoscenza della politica, inclusa la preparazione della relazione per la tesi finale.",0.2413793103448276,0.03571428571428571,0.1724137931034483,0.1724137931034483
Come funziona l’attività di tirocinio all’estero?,"Il Tirocinio all’estero può essere riconosciuto come tirocinio (se inserito tra le attività a scelta) o, se breve, come crediti aggiuntivi non utili al conseguimento del titolo accademico, a discrezione del Corso di Studio. La domanda di riconoscimento dei CFU, da inviare al Coordinatore del corso di studi, può essere presentata da chi intende richiedere il riconoscimento di crediti aggiuntivi. Le modalità in cui è possibile svolgere un tirocinio all’estero sono le seguenti: Tirocinio curriculare: il tirocinio curricolare può essere fatto presso un’azienda estera con le stesse regole del tirocinio curricolare in Italia (senza borsa).Tirocinio durante l’Erasmus per studio: il tirocinio viene gestito dall’università estera (quindi lo studente deve prendere accordi con loro per la convenzione con l’azienda, le presenze e tutto ciò che riguarda lo svolgimento del tirocinio); Unibo si limita a riconoscere il tirocinio come qualsiasi altro esame presente nella richiesta di riconoscimento;Erasmus Placement: è un tirocinio intensivo (il periodo all’estero è esclusivamente dedicato ad esso) della durata massima di tre mesi; chi è vincitore del bando “Erasmus Placement” ottiene una borsa di studio.",Non ho trovato informazioni specifiche sull'attività di tirocinio all'estero nel contesto fornito.,0.06153846153846154,0.020725388601036274,0.05128205128205128,0.05128205128205128
"Voglio laurearmi all'ultimo appello di marzo, devo iscrivermi al nuovo anno accademico?","No, non è necessario nè iscriversi nè presentare le ISEE. Se sei in dubbio di riuscire entro marzo puoi iscriverti e presentare le ISEE, la quota di iscrizione ti sarà restituita dopo la laurea.","Sì, è possibile presentare la candidatura dal 28 marzo.",0.14634146341463414,0.0,0.0975609756097561,0.0975609756097561
Posso modificare il piano di studio? ,Gli studenti che si iscrivono fuori corso possono modificare il piano di studi solo se intendono laurearsi a partire dal primo appello estivo successivo. Chi ritiene di potersi laureare entro la sessione di marzo dell'anno successivo non può modificare il piano di studi.,"Mi dispiace, ma non sono in grado di fornire una risposta precisa alla tua domanda con le informazioni fornite. Il testo non menziona esplicitamente la possibilità di modificare il piano di studio.",0.23684210526315788,0.08108108108108109,0.18421052631578946,0.18421052631578946
