domanda,risposta_gold,risposta,rouge1,rouge2,rougeL,rougeLsum
Sbocchi occupazionali del corso?,"Banche e Assicurazioni, Borse e Mercati, Società di consulenza, Società di sondaggi, Società di gestione dati, Società di Sviluppo Software, Settore dell'informazione, gestione del web, Logistica e gestione della produzione, Editoria e Comunicazione scientifica, Settore dei servizi, Marketing e gestione commerciale,Controllo di gestione."," I sbocchi occupazionali del corso di Matematica presso l09:30 - 17:00 nel Padiglione 33 di BolognaFiere includono:

- Società di consulenza
- Società di sondaggi
- Società di gestione dati
- Società di Sviluppo Software
- Settore dell’informazione; gestione del web
- Editoria e Comunicazione scientifica
- Settore dei servizi
- Marketing e gestione commerciale
- Controllo di gestione

Queste posizioni possono richiedere competenze come creatività, doti di intuizione ed analisi, capacità progettuali e di pianificazione, capacità di comunicazione per favorire una buona divulgazione delle discipline matematiche, e dimestichezza nell'utilizzo di software scientifico, in particolare di tipo matematico e statistico.",0.5323741007194245,0.4671532846715329,0.4892086330935252,0.5179856115107913
Principali funzioni in un contesto di lavoro?,"Applica le conoscenze matematiche acquisite a problemi diversi di tipo tecnologico, scientifico, economico-finanziario, elaborandone il modello matematico e sviluppando il software necessario. Identifica più soluzioni matematiche per risolvere un problema. Interpreta i bisogni del cliente (interno ed esterno), traducendoli in linguaggio matematico, anche utilizzando la conoscenza dei moderni strumenti informatici e del calcolo scientifico. Svolge attività di divulgazione scientifica con particolare riguardo alla matematica."," Principali funzioni in un contesto di lavoro sono:

a. Applica le conoscensenze matematiche acquisite a problemi diversi di tipo tecnologico, scientifico, economico-finanziario, elaborandone il modello matematico e sviluppando il software necessario.

b. Identifica più soluzioni matematiche per risolvere un problema.

c. Interpreta i bisogni del cliente (interno ed esterno), traducendoli in linguaggio matematico, anche utilizzando la conoscenza dei moderni strumenti informatici e del calcolo scientifico.

d. Svolge attività di Obblighi Formativi Aggiuntivi (OFA) se dalla verifica emergessero lacune in uno o più argomenti.

Queste funzioni mostrano l'importanza della matematica nel mondo del lavoro, dove si applicano a problemi complessi, si trovano soluzioni e si interpretano i bisogni del cliente in termini matematici. Inoltre, si sottolinea la necessità di competenze aggiuntive attraverso OFA per acquisire maggiore autonomia e responsabilità.",0.5948717948717949,0.5388601036269429,0.5948717948717949,0.5846153846153845
Cosa Studierai?,"Il programma offre una formazione multidisciplinare con solide fondamenta teoriche ed empiriche per analisi approfondite, con un costante focus sulla prospettiva comparata e internazionale. Inoltre, include attività pratiche per un'applicazione concreta delle competenze acquisite."," In Italia, potresti partecipare a vari eventi e corsi legati alla matematica e all'orientamento universitario. Ad esempio, potresti partecipare al ""Professione Matematico 2024"" per esperienze lavorative in campo industriale, bancario o dei servizi, oppure al ""Conosci il Collegio Superiore dell’Università di Bologna"" per informarti sulle strutture e le opportunità dell'ateneo. Inoltre, potresti iscriverti online alle ""Giornate dell'Orientamento"" per trovare il corso adatto alle tue esigenze. Infine, potresti partecipare a eventi culturali come ""A Taste of India"" per immergerti nel patrimonio multiculturale dell'India. Queste opportunità si svolgono in date e orari specifici, quindi assicurati di registrare e partecipare alle giornate scelte.",0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142
Esperienze all'estero?,"Nell'ambito delle esperienze all'estero, il Corso offre la possibilità di svolgere tirocini presso organizzazioni internazionali e partecipare a programmi di scambio. Queste esperienze offrono un contatto diretto con le realtà internazionali, arricchendo la comprensione delle dinamiche globali e fornendo un vantaggio concreto nel mercato del lavoro internazionale."," Nel contesto fornito, non vi è alcuna esperienza all'estero specificamente menzionata. Tuttavia, puoi partecipare all'evento ""Bando Erasmus Plus A.A. 2024/2025"" online dal 11:00 al 13:00 per informarti e potenzialmente partecipare a opportunità di mobilità internazionale.
",0.17977528089887637,0.045977011494252866,0.15730337078651685,0.15730337078651685
Le funzioni del tutor del corso?,"Il tutor svolge una funzione di interfaccia tra gli studenti e il corso e offre un punto di riferimento concreto per reperire informazioni, ad esempio, sulle modalità di accesso al Corso e lo svolgimento delle attività didattiche.  Gli studenti possono rivolgersi al tutor anche per segnalare eventuali richieste relative ad aspetti logistici o organizzativi. Il tutor svolge, inoltre, un'attività di sostegno personalizzato all'apprendimento per quegli studenti, che per ragioni lavorative o altro, abbiano maggiori difficoltà a mantenere una chiara programmazione degli studi e degli esami."," Nel contesto fornito, le funzioni del tutor del corso non sono esplicitamente elencate. Tuttavia, basandoci sulle competenze richieste per acquisire maggiore autonomia e responsabilità nello svolgimento delle attività e funzioni del corso, possiamo dedurre che un tutor del corso potrebbe svolgere le seguenti funzioni:

1. Valutare le conoscenze di base dei tutor in discipline come matematica e tecnologie informatiche.
2. Fornire supporto e orientamento nella preparazione degli OFA, come gli esami online (EOL), gli incarichi extraistituzionali e la produzione scientifica (IRIS).
3. Assistere nella comprensione e nell'interpretazione delle norme aziendali (NormAteneo).
4. Promuovere la creatività, l'intuizione, l'analisi e le capacità progettuali e di pianificazione.
5. Aiutare i tutor a migliorare le loro competenze comunicative per una buona divulgazione delle discipline matematiche.
6. Guidare i tutor nell'uso di software scientifico e matematico.

Si prega di notare che queste funzioni sono dedotte dalla necessità di acquisire le competenze richieste per il corso e non sono direttamente elencate nel contesto fornito.",0.24096385542168677,0.032388663967611336,0.12048192771084339,0.1365461847389558
Di cosa si occupa la segreteria studenti?,"La Segreteria studenti si occupa della gestione delle carriere degli studenti iscritti al Corso. In particolare, cura tutte le attività amministrative: dall'immatricolazione ai trasferimenti da e per altri corsi di studi, dal rilascio di certificati e duplicati al controllo delle tasse universitarie, dalla domanda di ammissione all'esame di laurea e al rilascio della pergamena di laurea."," La segreteria studenti in italiano offre servizi online come la gestione della rubrica, la ricerca di servizi e la fornitura di assistenza agli studenti. Gli studenti possono accedere a questi servizi attraverso il portale dell'Università di Bologna, utilizzando l'indirizzo https://www.unibo.it/it/servizi-e-opportunita/servizi-online/il-mio-portale.",0.2142857142857143,0.03636363636363636,0.16071428571428573,0.16071428571428573
Di cosa si occupa l'ufficio didattico?,"L'Ufficio Didattico si occupa di fornire informazioni e supporto agli studenti e ai docenti su temi attinenti alla didattica. Svolge una funzione di raccordo fra le attività relative ai piani di studio, esami, delibere del Corso e le procedure che garantiscono il regolare svolgimento dei percorsi accademici."," L'Ufficio Didattico si occupa di attività di divulgazione scientifica, soprattutto in ambito matematico, attraverso eventi come la ""Passeggiata Matematica di Squadra"" e la ""Obiettivo Tesi senza Stress"". Offre anche corsi online e incontri informativi su bando Erasmus Plus e sbocchi occupazionali per laureati in matematica.",0.2765957446808511,0.10869565217391305,0.2127659574468085,0.2127659574468085
Di cosa si occupa l'ufficio tirocini?,"L'ufficio tirocini offre supporto agli studenti nell’intraprendere l’attività di tirocinio e la valutazione delle offerte. Supporta, inoltre, le aziende per la stipula delle convenzioni di tirocinio secondo progetti formativi mirati al completamento del processo di apprendimento e formazione o al conseguimento del titolo di studio."," L'Ufficio Tirocini Area Scientifica organizza la presentazione dedicata ai tirocini per i corsi di studio in ambito scientifico triennali, offrendo l'opportunità di incontrare online il corso e conoscere le opportunità dell'Ateneo. Inoltre, gestisce attività come i tirocini curriculari e prepara le prove finali, e organizza incontri informativi su concorsi come Erasmus Plus.",0.27184466019417475,0.0594059405940594,0.17475728155339806,0.17475728155339806
Di cosa si occupa l'ufficio relazioni internazionali?,L'ufficio Relazioni internazionali promuove i programmi di mobilità studentesca tramite l'organizzazione di riunioni informative. Offre un servizio di orientamento sulle opportunità di studio coi programmi di scambio e un supporto nella redazione della lettera di presentazione in lingua per la partecipazione ai programmi di scambio che prevedano un tirocinio all’estero.," L'Ufficio Mobilità Internazionale di Scienze invita a un incontro informativo sul bando Erasmus Plus. Presenta principali funzioni che includono l'applicazione delle conoscenze matematiche a problemi tecnologici, scientifici, economici e finanziari, sviluppo di modelli matematici e software. Attività descritte si allineano con la promozione di opportunità di mobilità internazionale, come i bando Erasmus Plus, e si concentrano su sbocchi occupazionali in settori come banche, assicurazioni, servizi di consulenza e servizi di sviluppo software.",0.26771653543307083,0.048,0.17322834645669294,0.17322834645669294
Cos'è il TOLC-I?,"l Test On Line Cisia (TOLC) è uno strumento di orientamento e valutazione delle capacità iniziali. È un test individuale, diverso per ogni partecipante, composto da quesiti selezionati automaticamente e casualmente dal database CISIA TOLC con un software realizzato e gestito dal CISIA. - Consorzio Interuniversitario Sistemi Integrati per l'Accesso. Il test TOLC si svolge al computer presso le sedi individuate dagli atenei che lo adottano e consente di  partecipare a qualunque selezione per la quale sia richiesto quel tipo di TOLC: non è necessario, quindi, sostenerlo presso la stessa sede del Corso di tuo interesse. Il TOLC-I è quello previsto per l'accesso a questo Corso e comprende 50 quesiti e dura 1 ora e 50 minuti: 20 di matematica (50 minuti), 10 di logica (20 minuti), 10 di scienze (20 minuti), 10 di comprensione verbale (20 minuti). Le prove comprendono anche una sezione di inglese facoltativa composta di 30 quesiti (15 minuti di prova aggiuntivi). Potrai sostenere il TOLC se hai già il diploma o se frequenti il quarto o il quinto anno delle scuole secondarie superiori.", Il TOLC-I non è descritto nel contesto fornito. Non ho informazioni su di esso.,0.052631578947368425,0.02127659574468085,0.042105263157894736,0.042105263157894736
