domanda,risposta_gold,risposta
Quando posso svolgere tirocinio curriculare?,"E’ possibile inserirlo facoltativamente tra i crediti a scelta del terzo anno. E’ anche anticipabile al periodo estivo a termine del secondo anno (quando si presume che lo studente abbia sostenuto un numero di esami sufficiente ed acquisito le conoscenze di base da mettere in campo nello svolgimento delle attività pratiche), previo inserimento tramite piano cartaceo facendo richiesta a didatticasociale.svic@unibo.it nei periodi di apertura del piano di studi. Il prossimo periodo utile sarà a ottobre-novembre.", Puoi svolgere tirocinio curriculare dopo il conseguimento del titolo e iscritto all’ultimo anno del proprio corso di specializzazione/dottorato alla data di chiusura del bando (13 maggio 2oteca 2024).
Il tirocinio è obbligatorio?,"No. Corrisponde a 10 CFU a scelta libera, anche ottenibili attraverso esami."," No, non è obbligatorio. Secondo il contesto, il tirocinio curriculare e quello per tesi devono essere preventivamente concordati e approvati, suggerendo che non siano obbligatori ma richiedono accordi e approvazioni specifici."
Dove posso svolgere il tirocinio? ,"Puoi svolgerlo presso Aziende/Enti convenzionati con l’Università di Bologna sia in Italia sia all'estero, oppure all'interno dell'Ateneo. Nel caso in cui il Soggetto Ospitante che hai scelto non sia già convenzionato con l'Università di Bologna è necessario procedere alla stipula di una convenzione. L’azienda/ente non convenzionato dovrà registrarsi secondo le procedure attraverso l’applicativo on-line ed essere sottoposto a valutazione della Commissione tirocini. "," Puoi svolgere il tirocinio presso aziende/enti convenzionati con l0 l'Università di Bologna sia in Italia sia all'estero. Se l'azienda/ente non convenzionato, dovrai procedere alla stipula di una convenzione. Gli enti non convenzionati devono registrarsi attraverso un apposito app, essere valutati dalla Commissione tirocini e potrebbero essere riconosciuti come tirocinio o come crediti aggiuntivi non utili al conseguimento del titolo accademico.
"
Come mi candido presso soggetti convenzionati? ,"Collegati all'applicativo tirocini. Troverai sotto il tasto <Aziende/Enti> i soggetti convenzionati ma privi di offerte attive, a cui potrai proporre la tua autocandidatura. Sotto il tasto <Offerte> trovi invece le offerte di tirocinio già attive a cui puoi presentare la tua candidatura. Nella richiesta bisogna allegare il CV ed eventualmente una lettera di motivazione (in un unico file). Nel presentare la tua autocandidatura ti verrà richiesto il nome del tuo Tutor accademico, prof.ssa Cristina Brasili."," Per candidarti presso soggetti convenzionati, devi seguire questi passaggi:

1. Registrati su ""Studenti Online"" (www.studenti.unibo.it) utilizzando SPID o CIE.
2. Se non possiedi SPID o CIE, scegli la ""Registrazione con codice fiscale"".
3. Se sei Studente con Disabilità e DSA, contatta direttamente l'indirizzo email forniticom: ases.adattamentiammissione@unibo.it.
4. Accedi a ""Studenti Online"" e clicca su ""Richiesta di ammissione – Partecipa alla selezione"".
5. Inserisci con precisione i tuoi dati anagrafici (nome, cognome, data e località di nascita) per garantire che il tuo tirocinio possa essere rilevato automaticamente dall'Ateneo.
6. Una volta che i tuoi dati sono correttamente inseriti, sarai pronto per presentare la tua candidatura.

Ricorda che la scansione del QR Code non è obbligatoria e se non riesci a candidarti online, potresti essere contattato entro 48 ore per una candidatura alternativa."
Come attivo un tirocinio presso un soggetto non convenzionato?,"Invia una mail all'indirizzo spbo.tirocini@unibo.it, indicando i tuoi dati personali (numero di matricola, corso di laurea, anno di iscrizione), il nome dell’Azienda/Ente in cui vorresti svolgere il tirocinio, gli obiettivi formativi del tirocinio che prevedi di svolgere e, infine, il nome e l’indirizzo mail della persona con cui sei in contatto. La Commissione Tirocini valuterà l'idoneità della struttura che proponi. La procedura può richiedere fino a un mese."," Per attivare un tirocinio presso un soggetto non convenzionato, devi seguire questi passaggi:

1. Registrati attraverso l'applicativo on-line fornito, che serve per la maggior parte dei soggetti non convenzionati.
2. Sottoponiti a valutazione della Commissione tirocini.
3. Allega il CV e, se necessario, una lettera di presentazione o altri documenti.
4. Una volta accettato, procedi alla stipula di una convenzione con l'Università di Bologna.

Ricorda che il tirocinio presso soggetti non convenzionati è limitato a un massimo di 12 CFU (Crediti Formativi Universitari)."
Posso comunque iniziare il tirocinio anche se non ho attivato o concluso la procedura in Applicativo?,"No! Al fine di garantire le coperture assicurative e il riconoscimento delle ore svolte, il tirocinio potrà iniziare solo a iter di attivazione concluso, ovvero quando sarà autorizzata la stampa del Registro delle Presenze."," No, non puoi iniziare il tirocinio senza aver attivato o concluso la procedura nell'applicativo. Aziende o enti non convenzionati devono registrarsi attraverso l'applicativo e essere valutati dalla Commissione tirocini."
Può anche essere utilizzato per la preparazione della relazione per la tesi finale?,"Sì, il progetto di Tirocinio dovrà essere preventivamente concordato con il relatore di tesi, approvato e comunicato al Tutor Accademico per gli adempimenti di sua competenza."," Sì, può essere utilizzato per la preparazione della relazione per la tesi finale. Il contesto menziona che la preparazione della prova finale include anche la redazione della relazione conclusiva. Tuttavia, non sono fornite specifiche metriche o dettagli su come utilizzarlo."
Come funziona l’attività di tirocinio all’estero?,"Il Tirocinio all’estero può essere riconosciuto come tirocinio (se inserito tra le attività a scelta) o, se breve, come crediti aggiuntivi non utili al conseguimento del titolo accademico, a discrezione del Corso di Studio. La domanda di riconoscimento dei CFU, da inviare al Coordinatore del corso di studi, può essere presentata da chi intende richiedere il riconoscimento di crediti aggiuntivi. Le modalità in cui è possibile svolgere un tirocinio all’estero sono le seguenti: Tirocinio curriculare: il tirocinio curricolare può essere fatto presso un’azienda estera con le stesse regole del tirocinio curricolare in Italia (senza borsa).Tirocinio durante l’Erasmus per studio: il tirocinio viene gestito dall’università estera (quindi lo studente deve prendere accordi con loro per la convenzione con l’azienda, le presenze e tutto ciò che riguarda lo svolgimento del tirocinio); Unibo si limita a riconoscere il tirocinio come qualsiasi altro esame presente nella richiesta di riconoscimento;Erasmus Placement: è un tirocinio intensivo (il periodo all’estero è esclusivamente dedicato ad esso) della durata massima di tre mesi; chi è vincitore del bando “Erasmus Placement” ottiene una borsa di studio."," Gli studenti possono svolgere un tirocinio all'estero durata da 2 a 6 mesi, scelto tra le attività curriculari, con un contributo finanziario calcolato in base al paese di destinazione, ai giorni di permanenza presso l'università partner e che deve essere riconosciuto per ottenere CFU. È necessario presentare la domanda di riconoscimento dei CFU al Coordinatore del corso di studi. La mobilità può avvenire direttamente all'estero, con la possibilità di richiedere il rimborso delle spese al rientro in Italia, ma è consigliato verificare le tariffe italiane e considerare un'assicurazione sanitaria privata. Le candidature devono essere prese in carico entro il 13 maggio 2024."
"Voglio laurearmi all'ultimo appello di marzo, devo iscrivermi al nuovo anno accademico?","No, non è necessario nè iscriversi nè presentare le ISEE. Se sei in dubbio di riuscire entro marzo puoi iscriverti e presentare le ISEE, la quota di iscrizione ti sarà restituita dopo la laurea."," No, non è necessario iscriverti al nuovo anno accademico per laurearti all'ultimo appello di marzo. Tuttavia, è importante attenersi alle scadenze riportate alle colonne per la domanda di laurea. Se non ti laureggi, potresti ripresentare la domanda pagando un'integrazione di € 16.00."
Posso modificare il piano di studio? ,Gli studenti che si iscrivono fuori corso possono modificare il piano di studi solo se intendono laurearsi a partire dal primo appello estivo successivo. Chi ritiene di potersi laureare entro la sessione di marzo dell'anno successivo non può modificare il piano di studi.," Sì, puoi modificare il piano di studio, ma solo se intendi laurearti a partire dal primo appello estivo e non se ritendi di laurearti entro la sessione di marzo dell'anno successivo. Inoltre, non è possibile modificare il piano se il termine previsto è già scaduto. Inoltre, se hai già caricato il tuo Learning Agreement, non sono accettate più di 3 modifiche durante l'intera mobilità."
Qual è la differenza tra Seduta di laurea e Proclamazione?,La Seduta di Laurea e la cerimonia di proclamazione si svolgono in due momenti distinti. Per la Seduta di laurea non è prevista la partecipazione dei laureandi; consiste nella valutazione dell'elaborato da parte della commissione. Invece la cerimonia di proclamazione è un momento che coinvolge i laureandi su base volontaria. ," La Seduta di laurea non richiede la partecipazione dei laureandi e si svolge con appelli, mentre la Proclamazione è una cerimonia volontaria e non legale che avviene dopo la Seduta di laurea. Inoltre, la Proclamazione avviene su base volontaria e non ha valore legale, a differenza della Seduta di laurea che implica appelli e requisiti da rispettare.
"
La tesi viene discussa?,"No, non è prevista la discussione della tesi di laurea."," No, non è prevista la discussione della tesi di laurea."
Quali sono i requisiti di laurea?,Per poterti laureare devi soddisfare per tempo i requisiti di ammissione: Aver sostenuto e verbalizzato tutti gli esami previsti dal tuo piano di studi; Essere in regola con il pagamento delle tasse; Aver caricato la tesi in formato pdf su studenti online; Aver compilato il questionario AlmaLaurea su studenti online.," Per laurearsi sono richiesti:

1. Diploma di scuola media superiore di durata quadriennale e relativo anno integrativo o, ove non più attivo, il debito formativo assegnato.
2. Conoscenza della lingua italiana buona, e della lingua inglese al livello A2 del quadro Europeo.
3. Adeguata preparazione nelle discipline specifiche, verificate attraverso una prova di conoscenenza.
4. Possesso di almeno 45 University credits.
5. Presentazione di un motivazionale lettera, sia in inglese che in spagnolo.
6. Per i laureandi interessati, il riconoscimento di crediti per attività svolte presso strutture con legami di parentela o affinità entro il secondo dell'Università e Ricerca (MUR).

Nota: I requisiti possono variare a seconda del corso di laurea scelto, come indicato nella Circolare MUR."
Posso scegliere con relatore/relatrice anche un docente che non insegna a SVIC?,"Sì, è possibile avere come relatore/relatrice qualsiasi docente UniBo, purchè abbia almeno un insegnamento attivo nell'a.a. corrente. L'insegnamento deve essere ritenuto compatibile con SVIC."," Sì, puoi scegliere un docente che non insegna a SVIC purché abbia almeno un insegnamento attivo nell'anno corrente e il suo insegnamento sia compatibile con SVIC."
Il Corso di Laurea prevede l’obbligo di frequenza? E’ possibile sostenere gli esami non partecipando alle lezioni?,Nessun insegnamento attivato prevede l'obbligo di frequenza. È possibile sostenere tutti gli esami senza frequentare le lezioni. Per eventuali modifiche relative alla natura del programma d’esame fare riferimento al sito appositamente dedicato.," No, nessun insegnamento attivato prevede l'obbligo di frequenza. È possibile sostenere tutti gli esami senza frequentare le lezioni. Tuttavia, fanno eccezioni casistiche specifiche o decisioni di singoli professori.
"
E' possibile seguire le lezioni online?,"Per l'a.a. 2023/24 non è più possibile seguire le lezioni online, così come dare gli esami a distanza. Fanno eccezione casistiche specifiche o decisioni di singoli professori."," Per il 2023/24, non è più possibile seguire le lezioni online. Fanno eccezione casistiche specifiche o decisioni di singoli professori. Per partecipare in presenza, sarà possibile seguire l'evento online tramite il link fornito.

Italiano: Per l'anno accademico 2023/24, non è più possibile seguire le lezioni online. Fanno eccezioni specifiche casistiche o decisioni dei singoli professori. Per partecipare in presenza, sarà possibile seguire l'evento online tramite il seguente link: [LINK TEAMS](https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZWUzNWZjY2QtM2Y1NC00NmVhLTkxZjItMTZkNjNiNzI4ODQ2@thread.v2/0?context=%7b%22Tid%22%3a%22e99647dc-1b08-454a-bf8c-699181b389ab%22%2c%22Oid%22%3a%22adb4415f-2640-4b7d-a847-5f339bedf6f4%22%7d).

Nota: I link e le eccezioni sono forniti nel contesto italiano."
