domanda,risposta_gold,risposta,rouge1,rouge2,rougeL,rougeLsum
Quando posso svolgere tirocinio curriculare?,"E’ possibile inserirlo facoltativamente tra i crediti a scelta del terzo anno. E’ anche anticipabile al periodo estivo a termine del secondo anno (quando si presume che lo studente abbia sostenuto un numero di esami sufficiente ed acquisito le conoscenze di base da mettere in campo nello svolgimento delle attività pratiche), previo inserimento tramite piano cartaceo facendo richiesta a didatticasociale.svic@unibo.it nei periodi di apertura del piano di studi. Il prossimo periodo utile sarà a ottobre-novembre.", Puoi svolgere il tirocinio curricular dal 28 marzo 2 dia venerdì 12 aprile 2024.,0.021505376344086023,0.0,0.021505376344086023,0.021505376344086023
Il tirocinio è obbligatorio?,"No. Corrisponde a 10 CFU a scelta libera, anche ottenibili attraverso esami."," No, il tirocinio non è obbligatorio. Secondo il contesto, gli studenti hanno la possibilità di scegliere tra i CFU liberi al 3° anno, indicando che è una scelta opzionale.",0.15384615384615383,0.0,0.15384615384615383,0.15384615384615383
Dove posso svolgere il tirocinio? ,"Puoi svolgerlo presso Aziende/Enti convenzionati con l’Università di Bologna sia in Italia sia all'estero, oppure all'interno dell'Ateneo. Nel caso in cui il Soggetto Ospitante che hai scelto non sia già convenzionato con l'Università di Bologna è necessario procedere alla stipula di una convenzione. L’azienda/ente non convenzionato dovrà registrarsi secondo le procedure attraverso l’applicativo on-line ed essere sottoposto a valutazione della Commissione tirocini. "," Il contesto fornito non specifica un luogo fisico dove svolgere il tirocinio. Gli studenti hanno la possibilità di rafforzare le proprie competenze attraverso l'Erasmus+ mobilità per tirocinio, ma il luogo esatto non è indicato.

Se hai bisogno di informazioni più specifiche, sentiti libero di chiedere.

(Nota: poiché le informazioni necessarie non sono presenti nel contesto, non è possibile fornire una risposta con dati statistici o numerici.)",0.19117647058823528,0.01492537313432836,0.08823529411764706,0.14705882352941177
Come mi candido presso soggetti convenzionati? ,"Collegati all'applicativo tirocini. Troverai sotto il tasto <Aziende/Enti> i soggetti convenzionati ma privi di offerte attive, a cui potrai proporre la tua autocandidatura. Sotto il tasto <Offerte> trovi invece le offerte di tirocinio già attive a cui puoi presentare la tua candidatura. Nella richiesta bisogna allegare il CV ed eventualmente una lettera di motivazione (in un unico file). Nel presentare la tua autocandidatura ti verrà richiesto il nome del tuo Tutor accademico, prof.ssa Cristina Brasili."," Per candidarti presso soggetti convenzionati, è necessario seguire questi passaggi: aprire l'iscrizione solo se sei laureato o hai maturato un minimo di CFU in determinati ambiti, come indicato nella home page del corso SVIC. Inoltre, puoi personalizzare il tuo percorso di studi scegliendo uno dei cinque curricula proposti dal Corso: Scienze dell'Organizzazione, Comunicazione, Sociologia, Relazioni internazionali, o il Percorso Integrato Università e Impresa (PIL). Per ulteriori informazioni e partecipare agli incontri di orientamento, puoi seguire i link forniti su varie piattaforme online, come Microsoft Teams, Instagram, TikTok, YouTube, Telegram, LinkedIn e Facebook.",0.16374269005847955,0.01183431952662722,0.08187134502923978,0.08187134502923978
Come attivo un tirocinio presso un soggetto non convenzionato?,"Invia una mail all'indirizzo spbo.tirocini@unibo.it, indicando i tuoi dati personali (numero di matricola, corso di laurea, anno di iscrizione), il nome dell’Azienda/Ente in cui vorresti svolgere il tirocinio, gli obiettivi formativi del tirocinio che prevedi di svolgere e, infine, il nome e l’indirizzo mail della persona con cui sei in contatto. La Commissione Tirocini valuterà l'idoneità della struttura che proponi. La procedura può richiedere fino a un mese."," Per attivare un tirocinio presso un soggetto non convenzionato, gli studenti possono utilizzare le convenzioni e i tirocini online disponibobar su [www.unibo.it/it/servizi-e-opportunita/servizi-online/guida-servizi-online-studenti/convenzioni-e-tirocini-online](www.unibo.it/it/servizi-e-opportunita/servizi-online/guida-servizi-online-studenti/convenzioni-e-tirocini-online). Questo può includere l'utilizzo di AlmaRM (https://almarm.unibo.it/), la compilazione di autocertificazioni e certificati (https://studenti.unibo.it/), e la partecipazione alle offerte di lavoro (https://jobplacement.unibo.it/it/studenti-e-laureati/offerte-di-lavoro). Inoltre, gli studenti possono partecipare a caffè online con docenti e personale amministrativo per discutere opportunità di tirocinio non convenzionate.",0.22105263157894736,0.010638297872340425,0.09473684210526315,0.09473684210526315
Posso comunque iniziare il tirocinio anche se non ho attivato o concluso la procedura in Applicativo?,"No! Al fine di garantire le coperture assicurative e il riconoscimento delle ore svolte, il tirocinio potrà iniziare solo a iter di attivazione concluso, ovvero quando sarà autorizzata la stampa del Registro delle Presenze."," No, non è possibile iniziare il tirocinio senza attivare o concludere la procedura in Applicativo, secondo il contesto fornito.",0.23076923076923078,0.04,0.15384615384615383,0.15384615384615383
Può anche essere utilizzato per la preparazione della relazione per la tesi finale?,"Sì, il progetto di Tirocinio dovrà essere preventivamente concordato con il relatore di tesi, approvato e comunicato al Tutor Accademico per gli adempimenti di sua competenza."," Sì, può essere utilizzato per la preparazione della relazione per la tesi finale. Lo studente può scegliere tra i CFU liberi del 3° anno, inclusi tedesco e/o lingue extraeuropee, e può approfondire i temi privilegiati con esami specifici. Questo suggerisce che gli strumenti di preparazione della tesi sono multilingue e multidisciplinari, permettendo una scelta ampia e personalizzata per lo studio della relazione per la tesi.",0.17391304347826086,0.0,0.15217391304347827,0.15217391304347827
Come funziona l’attività di tirocinio all’estero?,"Il Tirocinio all’estero può essere riconosciuto come tirocinio (se inserito tra le attività a scelta) o, se breve, come crediti aggiuntivi non utili al conseguimento del titolo accademico, a discrezione del Corso di Studio. La domanda di riconoscimento dei CFU, da inviare al Coordinatore del corso di studi, può essere presentata da chi intende richiedere il riconoscimento di crediti aggiuntivi. Le modalità in cui è possibile svolgere un tirocinio all’estero sono le seguenti: Tirocinio curriculare: il tirocinio curricolare può essere fatto presso un’azienda estera con le stesse regole del tirocinio curricolare in Italia (senza borsa).Tirocinio durante l’Erasmus per studio: il tirocinio viene gestito dall’università estera (quindi lo studente deve prendere accordi con loro per la convenzione con l’azienda, le presenze e tutto ciò che riguarda lo svolgimento del tirocinio); Unibo si limita a riconoscere il tirocinio come qualsiasi altro esame presente nella richiesta di riconoscimento;Erasmus Placement: è un tirocinio intensivo (il periodo all’estero è esclusivamente dedicato ad esso) della durata massima di tre mesi; chi è vincitore del bando “Erasmus Placement” ottiene una borsa di studio."," L'attività di tirocinio all'estero non è esplicitamente descritta nel contesto fornito. Tuttavia, si possono dedurre alcune informazioni, come la possibilità di scelta tra diversi blocchi di insegnamenti e CFU liberi al 3° anno, e la possibilità di svolgere tirocini e seguire convenzioni, come indicato in ""Convenzioni e tirocini online"". Per maggiori dettagli, si raccomanda di consultare la pagina dedicata alle iscrizioni al prossimo anno accademico su https://corsi.unibo.it/laurea/SviluppoCooperazioneInternazionale/iscriversi-al-corso.",0.2178988326848249,0.015686274509803925,0.10894941634241245,0.10894941634241245
"Voglio laurearmi all'ultimo appello di marzo, devo iscrivermi al nuovo anno accademico?","No, non è necessario nè iscriversi nè presentare le ISEE. Se sei in dubbio di riuscire entro marzo puoi iscriverti e presentare le ISEE, la quota di iscrizione ti sarà restituita dopo la laurea."," No, non è necessario iscriverti al nuovo anno accademico per la candidatura dell'ultimo appello di marzo. Secondo il contesto, la candidatura sarà possibile dal 28 marzo, senza specificare la necessità di iscriversi al nuovo anno accademico.",0.31884057971014496,0.05970149253731344,0.2318840579710145,0.2318840579710145
Posso modificare il piano di studio? ,Gli studenti che si iscrivono fuori corso possono modificare il piano di studi solo se intendono laurearsi a partire dal primo appello estivo successivo. Chi ritiene di potersi laureare entro la sessione di marzo dell'anno successivo non può modificare il piano di studi.," La risposta non può essere estratta direttamente dalle informazioni fornite. Non è menzionato alcun meccanismo di modifica del piano di studio nel contesto fornito.

**Risposta:** Non è specificato come si possano modificare il piano di studio.",0.2820512820512821,0.13157894736842105,0.1794871794871795,0.25641025641025644
Qual è la differenza tra Seduta di laurea e Proclamazione?,La Seduta di Laurea e la cerimonia di proclamazione si svolgono in due momenti distinti. Per la Seduta di laurea non è prevista la partecipazione dei laureandi; consiste nella valutazione dell'elaborato da parte della commissione. Invece la cerimonia di proclamazione è un momento che coinvolge i laureandi su base volontaria. ," La domanda non può essere risponduta con le informazioni fornite nel contesto. 

La risposta è: non so.",0.0923076923076923,0.0,0.0923076923076923,0.061538461538461535
La tesi viene discussa?,"No, non è prevista la discussione della tesi di laurea."," La domanda non può essere risponduta con le informazioni fornite in italiano o con statistiche. Non vi sono dettagli su una discussione di tesi nel contesto fornito.

La risposta è: le informazioni fornite non indicano una discussione di tesi.",0.2127659574468085,0.0,0.1702127659574468,0.12765957446808512
