domanda,risposta_gold,risposta,rouge1,rouge2,rougeL,rougeLsum
Quando posso svolgere tirocinio curriculare?,"E’ possibile inserirlo facoltativamente tra i crediti a scelta del terzo anno. E’ anche anticipabile al periodo estivo a termine del secondo anno (quando si presume che lo studente abbia sostenuto un numero di esami sufficiente ed acquisito le conoscenze di base da mettere in campo nello svolgimento delle attività pratiche), previo inserimento tramite piano cartaceo facendo richiesta a didatticasociale.svic@unibo.it nei periodi di apertura del piano di studi. Il prossimo periodo utile sarà a ottobre-novembre.", Puoi svolgere tirocinio curriculare al 3° anno.,0.046511627906976744,0.0,0.046511627906976744,0.046511627906976744
Il tirocinio è obbligatorio?,"No. Corrisponde a 10 CFU a scelta libera, anche ottenibili attraverso esami."," Il tirocinio non è obbligatorio nel corso di Scienze Politiche Internazionali e Scienze Sociali per la Cooperazione, lo Sviluppo e la Pace (SVIC).",0.0,0.0,0.0,0.0
Dove posso svolgere il tirocinio? ,"Puoi svolgerlo presso Aziende/Enti convenzionati con l’Università di Bologna sia in Italia sia all'estero, oppure all'interno dell'Ateneo. Nel caso in cui il Soggetto Ospitante che hai scelto non sia già convenzionato con l'Università di Bologna è necessario procedere alla stipula di una convenzione. L’azienda/ente non convenzionato dovrà registrarsi secondo le procedure attraverso l’applicativo on-line ed essere sottoposto a valutazione della Commissione tirocini. "," Puoi svolgere il tirocinio in qualsiasi luogo, sia in Italia che all'estero, in quanto l'opportunità di Erasmus+ mobilità per tirocinio consente di svolgere un tirocinio in un'organizzazione o in un'università all'estero.",0.2616822429906542,0.057142857142857155,0.18691588785046728,0.18691588785046728
Come mi candido presso soggetti convenzionati? ,"Collegati all'applicativo tirocini. Troverai sotto il tasto <Aziende/Enti> i soggetti convenzionati ma privi di offerte attive, a cui potrai proporre la tua autocandidatura. Sotto il tasto <Offerte> trovi invece le offerte di tirocinio già attive a cui puoi presentare la tua candidatura. Nella richiesta bisogna allegare il CV ed eventualmente una lettera di motivazione (in un unico file). Nel presentare la tua autocandidatura ti verrà richiesto il nome del tuo Tutor accademico, prof.ssa Cristina Brasili."," Per presentare la candidatura presso gli enti convenzionati, dovrai attendere dal 28 marzo. Per comprendere le peculiarità dei corsi, è utile guardare alle finalità e ai piani di studio. Per informazioni dettagliate sulla candidatura, consulta il sito del corso scelto.",0.15384615384615388,0.017391304347826087,0.11965811965811966,0.11965811965811966
Come attivo un tirocinio presso un soggetto non convenzionato?,"Invia una mail all'indirizzo spbo.tirocini@unibo.it, indicando i tuoi dati personali (numero di matricola, corso di laurea, anno di iscrizione), il nome dell’Azienda/Ente in cui vorresti svolgere il tirocinio, gli obiettivi formativi del tirocinio che prevedi di svolgere e, infine, il nome e l’indirizzo mail della persona con cui sei in contatto. La Commissione Tirocini valuterà l'idoneità della struttura che proponi. La procedura può richiedere fino a un mese."," Per attivare un tirocinio presso un soggetto non convenzionato, è necessario seguire questi passaggi:

1. Identificare il soggetto non convenzionato in cui si desidera svolgere il tirocinio.
2. Contattare il soggetto per esprimere il proprio interesse e verificare se è possibile svolgere un tirocinio.
3. Se il soggetto accetta, è necessario redigere un contratto di tirocinio, che specifica i termini e le condizioni del tirocinio, come durata, obiettivi, compiti e remunerazione (se applicabile).
4. Fare riferimento al contratto di tirocinio al Dipartimento di Servizi per gli studenti (DSS) dell'Università di Bologna, che lo accetta e lo registra.
5. In caso di tirocinio all'estero, è necessario contattare l'Ufficio Servizi Internazionali (USI) per verificare eventuali requisiti e formalità da seguire.
6. In caso di tirocinio non remunerato, è necessario verificare se il tirocinio è inquadrabile come attività formativa obbligatoria (AFO) o come attività formativa facoltativa (AFF).
7. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito.
8. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
9. In caso di tirocinio all'estero, è necessario verificare se il soggetto è stato accreditato come ente di riferimento.
10. In caso di tirocinio all'estero, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
11. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
12. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
13. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
14. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
15. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
16. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
17. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
18. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
19. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
20. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
21. In caso di tirocinio AFO, è necessario presentare la relativa domanda al DSS entro il termine stabilito e pagare la tassa di iscrizione.
22. In caso di tirocinio AFF, è necessario presentare la relativa domanda al DSS",0.10619469026548674,0.021314387211367674,0.06371681415929205,0.0743362831858407
Posso comunque iniziare il tirocinio anche se non ho attivato o concluso la procedura in Applicativo?,"No! Al fine di garantire le coperture assicurative e il riconoscimento delle ore svolte, il tirocinio potrà iniziare solo a iter di attivazione concluso, ovvero quando sarà autorizzata la stampa del Registro delle Presenze."," Non, non è possibile iniziare il tirocinio se non si è ancora attivato o non si è ancora concluso la procedura nel relativo applicativo.",0.18181818181818185,0.03773584905660378,0.14545454545454542,0.14545454545454542
Può anche essere utilizzato per la preparazione della relazione per la tesi finale?,"Sì, il progetto di Tirocinio dovrà essere preventivamente concordato con il relatore di tesi, approvato e comunicato al Tutor Accademico per gli adempimenti di sua competenza."," Sì, gli strumenti forniti, come la piattaforma di tesi online, il sito Titulus, UniboImmagine, U-Web Reporting - Reportistica Contabile Progetti, Virtuale, possono essere utilizzati anche per la preparazione della relazione per la tesi finale.",0.23333333333333334,0.03448275862068965,0.13333333333333333,0.13333333333333333
Come funziona l’attività di tirocinio all’estero?,"Il Tirocinio all’estero può essere riconosciuto come tirocinio (se inserito tra le attività a scelta) o, se breve, come crediti aggiuntivi non utili al conseguimento del titolo accademico, a discrezione del Corso di Studio. La domanda di riconoscimento dei CFU, da inviare al Coordinatore del corso di studi, può essere presentata da chi intende richiedere il riconoscimento di crediti aggiuntivi. Le modalità in cui è possibile svolgere un tirocinio all’estero sono le seguenti: Tirocinio curriculare: il tirocinio curricolare può essere fatto presso un’azienda estera con le stesse regole del tirocinio curricolare in Italia (senza borsa).Tirocinio durante l’Erasmus per studio: il tirocinio viene gestito dall’università estera (quindi lo studente deve prendere accordi con loro per la convenzione con l’azienda, le presenze e tutto ciò che riguarda lo svolgimento del tirocinio); Unibo si limita a riconoscere il tirocinio come qualsiasi altro esame presente nella richiesta di riconoscimento;Erasmus Placement: è un tirocinio intensivo (il periodo all’estero è esclusivamente dedicato ad esso) della durata massima di tre mesi; chi è vincitore del bando “Erasmus Placement” ottiene una borsa di studio."," L'attività di tirocinio all'estero, come si può notare dal contesto, avviene nel terzo anno del corso ""Sviluppo Cooperazione Internazionale"" presso l'Università di Bologna. Il tirocinio è una parte importante del corso, che ha come obiettivo di formare le competenze essenziali per la comprensione dei caratteri dominanti dell'Organizzazione, Comunicazione, Sociologia, Relazioni Internazionali, Percorso Integrato Università e Impresa (PIL). Il tirocinio avviene all'estero, e le lingue di studio sono l'inglese e una seconda lingua tra il francese, il tedesco, lo spagnolo e il russo. Il tirocinio è possibile al terzo anno, ma può essere anticipato anche al secondo.",0.34163701067615654,0.07885304659498207,0.1494661921708185,0.1494661921708185
"Voglio laurearmi all'ultimo appello di marzo, devo iscrivermi al nuovo anno accademico?","No, non è necessario nè iscriversi nè presentare le ISEE. Se sei in dubbio di riuscire entro marzo puoi iscriverti e presentare le ISEE, la quota di iscrizione ti sarà restituita dopo la laurea."," Sì, se vuoi laurearti all'ultimo appello di marzo, devi iscriverti al nuovo anno accademico dal 28 marzo.",0.1568627450980392,0.0,0.1568627450980392,0.1568627450980392
Posso modificare il piano di studio? ,Gli studenti che si iscrivono fuori corso possono modificare il piano di studi solo se intendono laurearsi a partire dal primo appello estivo successivo. Chi ritiene di potersi laureare entro la sessione di marzo dell'anno successivo non può modificare il piano di studi., Non è possibile modificare il piano di studio. Il piano di studio è stabilito e non può essere modificato durante il corso degli studi.,0.3333333333333333,0.18749999999999997,0.27272727272727276,0.27272727272727276
Qual è la differenza tra Seduta di laurea e Proclamazione?,La Seduta di Laurea e la cerimonia di proclamazione si svolgono in due momenti distinti. Per la Seduta di laurea non è prevista la partecipazione dei laureandi; consiste nella valutazione dell'elaborato da parte della commissione. Invece la cerimonia di proclamazione è un momento che coinvolge i laureandi su base volontaria. ," La differenza tra Seduta di laurea e Proclamazione è che la Seduta di laurea è l'evento in cui si svolge la cerimonia di consegna dei diplomi, mentre la Proclamazione è l'atto ufficiale con cui viene riconosciuta la laurea da parte dell'Università. In genere, la Proclamazione avviene prima della Seduta di laurea.",0.5,0.1836734693877551,0.32,0.32
La tesi viene discussa?,"No, non è prevista la discussione della tesi di laurea.", La tesi non viene specificatamente menzionata come oggetto di discussione nel contesto fornito.,0.4545454545454546,0.0,0.27272727272727276,0.27272727272727276
Quali sono i requisiti di laurea?,Per poterti laureare devi soddisfare per tempo i requisiti di ammissione: Aver sostenuto e verbalizzato tutti gli esami previsti dal tuo piano di studi; Essere in regola con il pagamento delle tasse; Aver caricato la tesi in formato pdf su studenti online; Aver compilato il questionario AlmaLaurea su studenti online.," Per presentare la candidatura, sarà possibile dal 28 marzo. La laurea richiede di aver superato un corso di laurea, oppure di aver maturato un numero minimo di CFU in determinati ambiti. Inoltre, a seconda del corso prescelto, potrebbero essere richiesti specifici requisiti di laurea. Ad esempio, per il corso ""Sviluppo Cooperazione Internazionale"" non è richiesto un corso specifico di laurea, ma potrebbero essere richiesti specifici CFU in determinati ambiti. Per ulteriori informazioni, si consiglia di visitare la home page del sito del corso prescelto.",0.19548872180451127,0.015267175572519083,0.10526315789473684,0.10526315789473684
Posso scegliere con relatore/relatrice anche un docente che non insegna a SVIC?,"Sì, è possibile avere come relatore/relatrice qualsiasi docente UniBo, purchè abbia almeno un insegnamento attivo nell'a.a. corrente. L'insegnamento deve essere ritenuto compatibile con SVIC."," No, non è possibile scegliere un relatore/relatrice che non insegna a SVIC. Il relatore/relatrice è scelto tra i docenti che insegnano nel corso di laurea SVIC.",0.22641509433962265,0.0392156862745098,0.18867924528301885,0.18867924528301885
Il Corso di Laurea prevede l’obbligo di frequenza? E’ possibile sostenere gli esami non partecipando alle lezioni?,Nessun insegnamento attivato prevede l'obbligo di frequenza. È possibile sostenere tutti gli esami senza frequentare le lezioni. Per eventuali modifiche relative alla natura del programma d’esame fare riferimento al sito appositamente dedicato., Il Corso di Laurea prevede l'obbligo di frequenza. Non è possibile sostenere gli esami senza aver partecipato alle lezioni.,0.4230769230769231,0.28,0.4230769230769231,0.4230769230769231
E' possibile seguire le lezioni online?,"Per l'a.a. 2023/24 non è più possibile seguire le lezioni online, così come dare gli esami a distanza. Fanno eccezione casistiche specifiche o decisioni di singoli professori."," Sì, è possibile seguire le lezioni online.",0.28571428571428575,0.24242424242424243,0.28571428571428575,0.28571428571428575
"Come, dove e quando si possono reperire i libri di testo?",Tutto il materiale utile alla preparazione degli esami è indicato dal docente sulla pagina dedicata all’insegnamento. Non è necessario acquistare alcun libro di testo prima dell’inizio delle lezioni. Tutti i libri di testo sono reperibili presso le biblioteche dei Dipartimenti di Scienze Economiche e di Scienze Statistiche.," Per reperire i libri di testo, è possibile accedere alla sezione ""Servizi bibliotecari"" presente sul sito web dell'Università di Bologna (<http://www.sba.unibo.it/it>). Qui è possibile cercare i libri di testo tramite il catalogo online e ordinare la loro consegna presso la biblioteca più vicina. Inoltre, per alcuni corsi, i libri di testo sono disponibili online tramite la sezione ""Tesi online"" (<http://www.unibo.it/it/servizi-e-opportunita/servizi-online/guida-servizi-online-studenti/ams-tesi-online>).",0.22047244094488186,0.08000000000000002,0.15748031496062995,0.15748031496062995
Cosa sono gli OFA?,"Per immatricolarti ai Corsi di Laurea e Laurea Magistrale a ciclo unico sono richieste alcune conoscenze di base. La verifica delle conoscenze attraverso il TOLC-E ha l’obiettivo di verificare che tu non abbia carenze significative nelle particolari discipline di cui è richiesta un'adeguata preparazione per affrontare con profitto il corso di studio prescelto. La verifica delle conoscenze è solitamente un test o una prova. Nel caso in cui dalla verifica emergessero lacune in uno o più argomenti ti potrai comunque iscrivere, ma dovrai svolgere alcune attività supplementari, denominate appunto Obblighi Formativi Aggiuntivi (OFA)."," Gli OFA (Obblighi di Formazione Aggiuntiva) sono obblighi di formazione aggiuntiva che possono essere richiesti agli studenti per completare il loro percorso di studio. Non sono specificatamente menzionati nel contesto fornito, quindi non è possibile fornire informazioni dettagliate su di essi.",0.19402985074626866,0.015151515151515154,0.13432835820895522,0.13432835820895522
